state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
arunachal_pradesh,logistic_regression,0,357,0.7915596919127086,0.7030812324929971,0.6306818181818182,0.7302631578947368,0.676829268292683
arunachal_pradesh,random_forest,0,357,0.8558408215661104,0.803921568627451,0.75625,0.7960526315789473,0.7756410256410257
arunachal_pradesh,logistic_regression,1,396,0.804809670781893,0.7171717171717171,0.660377358490566,0.7777777777777778,0.7142857142857143
arunachal_pradesh,random_forest,1,396,0.8305298353909465,0.76010101010101,0.7033492822966507,0.8166666666666667,0.7557840616966581
arunachal_pradesh,logistic_regression,2,446,0.7483708048224179,0.6860986547085202,0.7571428571428571,0.6411290322580645,0.6943231441048034
arunachal_pradesh,random_forest,2,446,0.7989776800260671,0.7174887892376681,0.8144329896907216,0.6370967741935484,0.7149321266968326
arunachal_pradesh,logistic_regression,3,392,0.7593536747980234,0.6964285714285714,0.6684210526315789,0.6939890710382514,0.6809651474530831
arunachal_pradesh,random_forest,3,392,0.77404763772322,0.7168367346938775,0.7,0.6885245901639344,0.6942148760330579
arunachal_pradesh,logistic_regression,4,479,0.7770546605498061,0.7265135699373695,0.762962962962963,0.7545787545787546,0.7587476979742173
arunachal_pradesh,random_forest,4,479,0.8561826522991572,0.7745302713987474,0.7978339350180506,0.8095238095238095,0.8036363636363636
