feature,importance_mean,importance_std
slope_deg,0.2144341432225064,0.006455802120462635
rainfall_erosivity_r,0.11780690537084397,0.003984638110665323
aspect_deg,0.10102301790281329,0.004026102683230473
elevation_m,0.09694693094629155,0.004017049003641071
soil_loss_tha_yr,0.08922634271099743,0.00257328119086966
rusle_ls_factor,0.07992327365728899,0.0037131220992927534
distance_to_stream_m,0.0742007672634271,0.0035266365251839554
soil_erodibility_k,0.06630434782608696,0.0031051400413268783
landcover_class,0.014753836317135538,0.001486744758098306
rusle_c_factor,0.004827365728900257,0.0011914734752931173
