feature,importance_mean,importance_std
slope_deg,0.256398293788323,0.006999276290186233
rainfall_erosivity_r,0.09809384164222873,0.0030296742633858786
elevation_m,0.09653425753132494,0.0024793388429752137
soil_loss_tha_yr,0.0868701679552119,0.0023168904029856456
rusle_ls_factor,0.07601972807251396,0.0028015059935091566
distance_to_stream_m,0.07447347374033585,0.0030023384748243086
soil_erodibility_k,0.07362036790189277,0.0029413539391961244
aspect_deg,0.07183417755265258,0.002663922178285811
landcover_class,0.01018395094641425,0.0009817090183696035
rusle_c_factor,0.01002399360170616,0.0011904619334452823
