state,model,mean_roc_auc,std_roc_auc,mean_f1,n_folds_evaluated
mizoram,random_forest,0.7061818549488812,0.03363384364189936,0.6673517483490302,5
mizoram,logistic_regression,0.7039985136780489,0.02593407174155245,0.6564034285239226,5
