sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
NEG-0203,27.421498,88.63418,1389.5,27.55,146.25,0.2824,,forest,5904.9,0,,,,,0.011533,117.6,41.03
NEG-0204,27.406594,88.30727,1867.5,17.49,252.93,0.0235,,forest,6033.0,0,,,,,0.001032,266.1,22.8
NEG-0205,27.288997,88.247813,1351.1,18.84,151.9,0.0471,,grassland,4776.1,0,,,,,0.003569,270.9,25.51
NEG-0206,27.543039,88.596124,1717.5,53.18,148.53,0.0,,forest,6335.5,0,,,,,-0.004815,647.2,96.52
NEG-0207,27.17133,88.310745,632.6,30.7,320.84,0.0706,,forest,3846.2,0,,,,,-0.005417,251.1,43.43
NEG-0208,27.256535,88.135642,1591.6,4.58,335.34,0.0,,grassland,4384.7,0,,,,,0.004468,409.3,9.23
NEG-0209,27.343758,88.490149,943.7,24.69,212.21,0.0941,,forest,6909.2,0,,,,,-0.00453,188.2,33.41
NEG-0210,27.138055,88.41574,1542.1,37.07,36.91,0.1412,,forest,4037.0,0,,,,,0.009106,176.3,54.48
NEG-0211,27.216659,88.654893,980.4,32.37,248.08,0.0,,forest,4052.2,0,,,,,0.00616,644.5,47.07
NEG-0212,27.181817,88.464289,1170.6,28.85,295.1,0.0,,forest,4495.1,0,,,,,0.013223,409.3,42.24
NEG-0213,27.280754,88.431598,816.0,21.19,95.8,0.0,,forest,5993.5,0,,,,,-0.002768,382.0,27.63
NEG-0214,27.204027,88.718879,1128.1,44.28,310.71,0.0,,forest,4464.0,0,,,,,0.003849,324.6,70.1
NEG-0215,27.300014,88.433433,790.0,26.86,94.13,0.2,,forest,6418.8,0,,,,,-0.000505,0.0,37.34
NEG-0216,27.335398,88.457516,1298.2,16.89,89.6,0.0,,forest,7350.1,0,,,,,-0.001582,831.2,22.32
