state,model,mean_roc_auc,std_roc_auc,mean_f1,n_folds_evaluated
assam,random_forest,0.9507520545674224,0.015085214239014646,0.9018738425181058,5
assam,logistic_regression,0.9453172980745382,0.014961066028699555,0.8865071652648309,5
