feature,importance_mean,importance_std
slope_deg,0.1695427092320966,0.010816176280210421
elevation_m,0.08201035375323551,0.007984981409891082
rusle_ls_factor,0.033779119930974946,0.0042991545648369866
rainfall_erosivity_r,0.03201035375323553,0.002281156870820064
soil_loss_tha_yr,0.03019844693701464,0.002409704925585672
distance_to_stream_m,0.024762726488352,0.0016841433387353893
aspect_deg,0.02122519413287314,0.002120484163493456
soil_erodibility_k,0.013201035375323527,0.002783824987903662
landcover_class,0.003968938740293337,0.001347756630872584
rusle_c_factor,0.001984469370146652,0.0007270189623103199
