feature,importance_mean,importance_std
slope_deg,0.2761054421768708,0.008504298894431578
elevation_m,0.08390022675736966,0.003462229361587863
rainfall_erosivity_r,0.06094104308390029,0.002428395690544666
soil_loss_tha_yr,0.06009070294784584,0.003221830439542591
rusle_ls_factor,0.05833333333333338,0.002961441697643761
aspect_deg,0.038917233560090754,0.0022624303914747655
distance_to_stream_m,0.038265306122449036,0.002637730186877976
soil_erodibility_k,0.029903628117913878,0.0017276303806882977
landcover_class,0.011054421768707546,0.0021097272183592257
rusle_c_factor,0.00739795918367353,0.0011545018058059181
