state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
meghalaya,logistic_regression,0,368,0.887683414851045,0.8288043478260869,0.84375,0.8307692307692308,0.8372093023255814
meghalaya,random_forest,0,368,0.8950941159033645,0.8369565217391305,0.8325123152709359,0.8666666666666667,0.8492462311557789
meghalaya,logistic_regression,1,358,0.8448238194812896,0.7737430167597765,0.7916666666666666,0.7430167597765364,0.7665706051873199
meghalaya,random_forest,1,358,0.8695421491214382,0.7932960893854749,0.8,0.7821229050279329,0.7909604519774012
meghalaya,logistic_regression,2,340,0.7962597402597402,0.7264705882352941,0.7383720930232558,0.7257142857142858,0.7319884726224783
meghalaya,random_forest,2,340,0.8139913419913419,0.7588235294117647,0.746031746031746,0.8057142857142857,0.7747252747252747
meghalaya,logistic_regression,3,336,0.8596328640171091,0.7916666666666666,0.7741935483870968,0.7741935483870968,0.7741935483870968
meghalaya,random_forest,3,336,0.8672607378363928,0.7916666666666666,0.7672955974842768,0.7870967741935484,0.7770700636942676
meghalaya,logistic_regression,4,362,0.865798483736855,0.8093922651933702,0.8034682080924855,0.7988505747126436,0.8011527377521613
meghalaya,random_forest,4,362,0.8639337246270482,0.8038674033149171,0.7562189054726368,0.8735632183908046,0.8106666666666666
