feature,importance_mean,importance_std
slope_deg,0.1327574171029669,0.004927867063681718
elevation_m,0.09893542757417106,0.0037127683653108397
rainfall_erosivity_r,0.09684118673647472,0.004381079476665404
rusle_ls_factor,0.05715532286212919,0.003287052042205472
soil_loss_tha_yr,0.04497382198952882,0.002471231303033021
distance_to_stream_m,0.04413612565445028,0.0019448615553207267
aspect_deg,0.04090750436300177,0.0020548950826575936
soil_erodibility_k,0.03045375218150091,0.0019617018477991886
landcover_class,0.02448516579406635,0.002112413878892394
rusle_c_factor,0.003926701570680658,0.0010975356149061123
