state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
manipur,logistic_regression,0,579,0.7985621820439944,0.7115716753022453,0.7106109324758842,0.7416107382550335,0.7257799671592775
manipur,random_forest,0,579,0.7949318111251762,0.7202072538860104,0.7085889570552147,0.7751677852348994,0.7403846153846154
manipur,logistic_regression,1,537,0.7941225743403602,0.707635009310987,0.6442307692307693,0.8137651821862348,0.7191413237924866
manipur,random_forest,1,537,0.8024780120061428,0.7094972067039106,0.6444444444444445,0.8218623481781376,0.7224199288256228
manipur,logistic_regression,2,587,0.8236480186480187,0.7461669505962522,0.770764119601329,0.7435897435897436,0.7569331158238173
manipur,random_forest,2,587,0.8321037296037296,0.7461669505962522,0.7587301587301587,0.7660256410256411,0.7623604465709729
manipur,logistic_regression,3,601,0.813544179397838,0.7470881863560732,0.7650602409638554,0.774390243902439,0.7696969696969697
manipur,random_forest,3,601,0.8309322791030108,0.7687188019966722,0.7723342939481268,0.8170731707317073,0.794074074074074
manipur,logistic_regression,4,561,0.8324722293980883,0.7450980392156863,0.67,0.8204081632653061,0.7376146788990826
manipur,random_forest,4,561,0.8388271764401963,0.7557932263814616,0.6901408450704225,0.8,0.7410207939508506
