lat,lon,mfi,r_factor,mean_annual_rainfall_mm
24.273,94.221,372.12,1399.75,2362.9
24.273,94.311,287.72,1047.77,1785.8
24.273,94.401,304.77,1118.89,1804.7
24.273,94.491,370.91,1394.69,2182.0
24.273,94.581,373.17,1404.11,2213.5
24.273,94.671,321.08,1186.92,1923.2
24.273,94.761,288.83,1052.42,1713.1
24.363,92.871,294.72,1076.98,2144.0
24.363,92.961,318.33,1175.42,2218.3
24.363,93.051,339.58,1264.07,2365.8
24.363,93.141,339.2,1262.48,2328.6
24.363,93.231,317.1,1170.31,2102.0
24.363,93.321,317.1,1170.31,2102.0
24.363,93.411,281.4,1021.42,1900.3
24.363,93.501,281.4,1021.42,1900.3
24.363,93.591,227.28,795.74,1588.3
24.363,93.681,207.19,711.97,1441.7
24.363,93.771,207.19,711.97,1441.7
24.363,93.861,191.92,648.32,1339.9
24.363,93.951,191.67,647.28,1317.8
24.363,94.041,227.4,796.27,1557.1
24.363,94.131,282.46,1025.84,1939.7
24.363,94.221,336.3,1250.37,2212.8
24.363,94.311,321.82,1190.0,1980.4
24.363,94.401,296.32,1083.66,1748.9
24.363,94.491,323.4,1196.57,1926.2
24.363,94.581,374.11,1408.05,2221.0
24.363,94.671,332.12,1232.96,1992.9
24.363,94.761,327.98,1215.67,1926.6
24.453,92.871,310.08,1141.04,2288.3
24.453,92.961,352.17,1316.55,2416.2
24.453,93.051,371.81,1398.46,2552.8
24.453,93.141,396.79,1502.6,2614.0
24.453,93.231,359.35,1346.47,2323.2
24.453,93.321,353.2,1320.85,2279.1
24.453,93.411,290.33,1058.66,2022.7
24.453,93.501,297.67,1089.3,2126.9
24.453,93.591,297.67,1089.3,2126.9
24.453,93.681,218.74,760.14,1586.2
24.453,93.771,200.6,684.52,1435.3
24.453,93.861,200.6,684.52,1435.3
24.453,93.951,184.75,618.39,1298.2
24.453,94.041,185.16,620.13,1289.8
24.453,94.131,255.47,913.32,1756.5
24.453,94.221,287.23,1045.75,1974.7
24.543,94.491,351.38,1313.24,2131.7
24.543,94.581,370.16,1391.57,2233.0
24.543,94.671,365.83,1373.49,2133.2
24.543,94.761,365.83,1373.49,2133.2
24.633,92.871,363.92,1365.55,2667.8
24.633,92.961,377.61,1422.64,2633.1
24.633,93.051,376.3,1417.18,2623.3
24.633,93.141,386.17,1458.31,2615.6
24.633,93.231,409.48,1555.55,2767.4
24.633,93.321,351.98,1315.74,2479.9
24.633,93.411,339.14,1262.22,2443.2
24.633,93.501,277.11,1003.56,2012.9
24.633,93.591,273.85,989.95,1970.5
24.633,93.681,216.68,751.56,1631.6
24.633,93.771,194.4,658.65,1450.0
24.633,93.861,203.17,695.22,1449.5
24.633,93.951,184.89,618.98,1265.0
24.633,94.041,175.8,581.07,1229.5
24.633,94.131,232.49,817.46,1591.0
24.633,94.221,244.47,867.45,1699.3
24.633,94.311,299.03,1094.95,1960.0
24.633,94.401,321.56,1188.9,2019.0
24.633,94.491,306.93,1127.88,1958.0
24.633,94.581,334.59,1243.24,2037.8
24.633,94.671,362.18,1358.3,2109.0
24.633,94.761,384.41,1450.97,2204.5
24.723,92.871,366.84,1377.73,2715.3
24.723,92.961,381.88,1440.43,2718.9
24.723,93.051,376.15,1416.55,2654.0
24.723,93.141,385.28,1454.62,2646.4
24.723,93.231,418.75,1594.2,2818.4
24.723,93.321,423.75,1615.04,2913.4
24.723,93.411,369.12,1387.21,2694.2
24.723,93.501,314.54,1159.64,2264.2
24.723,93.591,322.16,1191.39,2257.9
24.723,93.681,256.77,918.73,1903.0
24.723,93.771,220.42,767.17,1680.7
24.723,93.861,213.75,739.34,1561.1
24.723,93.951,193.16,653.47,1327.8
24.723,94.041,184.9,619.01,1287.6
24.723,94.131,210.54,725.96,1424.8
24.723,94.221,232.28,816.59,1609.1
24.723,94.311,285.73,1039.5,1899.4
24.723,94.401,306.93,1127.88,1958.0
24.723,94.491,298.92,1094.5,1884.9
24.723,94.581,323.32,1196.24,1995.3
24.723,94.671,350.18,1308.27,2066.5
24.723,94.761,375.19,1412.56,2140.2
24.813,92.871,375.87,1415.37,2785.2
24.813,92.961,380.43,1434.39,2755.6
24.813,93.051,396.18,1500.09,2761.2
24.813,93.141,405.32,1538.19,2753.6
24.813,93.231,379.6,1430.95,2632.7
24.813,93.321,388.95,1469.93,2873.3
24.813,93.411,372.14,1399.82,2817.0
24.813,93.501,355.62,1330.94,2658.7
24.813,93.591,322.16,1191.39,2257.9
24.813,93.681,269.07,970.03,1956.0
24.813,93.771,228.44,800.59,1726.2
24.813,93.861,207.23,712.17,1532.0
24.813,93.951,191.42,646.2,1315.1
24.813,94.041,188.61,634.49,1314.3
24.813,94.131,214.2,741.19,1451.4
24.813,94.221,232.42,817.18,1607.7
24.813,94.311,264.45,950.77,1780.9
24.813,94.401,327.83,1215.04,2131.6
24.813,94.491,318.51,1176.2,2104.3
24.813,94.581,332.71,1235.38,2179.7
24.813,94.671,352.72,1318.84,2272.0
24.813,94.761,382.71,1443.88,2194.1
24.903,92.871,437.08,1670.63,3130.2
