Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MEG/RIB/78O09/2016/53,Meghalaya,Ri-Bhoi,UmlingPatharkhamma R.S2,UmlingPatharkhamma road,25.935708,91.714556,,,,Dormant
ME/EKJ/78O15/2015/64,Meghalaya,East Khasi Hills, ,Shillong-Sohra road,25.387912,91.762233,,,,Dormant
ME/EKJ/78O14/2015/47,Meghalaya,East Khasi Hills, ,Umj jew- Lumpyngrope approach road,25.606193,91.856276,,,,Suspended
ME/EKH/83C02/2015/147,Meghalaya,East Khasi Hills, ,NH-44,25.57395,92.058583,,,,Suspended
MEG/WJH/83C4/2016/116,Meghalaya,East Jaintia Hills,2.48 km NE of Sonapyrdi,NH44,25.129169,92.388306,,,,Suspended
ME/EKJ/78O15/2015/94,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Pynursla road),25.386191,91.874586,,,,Suspended
MG/EKH/78O11/2017/12,Meghalaya,East Khasi Hills, ,village approach road,25.331948,91.661011,,,,Active
MG/SWKH/78K15/2018/3,Meghalaya,South West Khasi  Hills,North of Khalu B,-,25.374072,90.8146,,,,Active
MG/WKH/78O02/2017/18,Meghalaya,West Khasi Hills,1.6 km NNW of Mawiaban,NH44E,25.553794,91.231139,,,,Suspended
MEG/WJH/83C4/2016/24,Meghalaya,East Khasi Hills,2 km W of Dawki,NH40,25.191111,92.003389,,,,Suspended
MG/SGH/78K11/2018/6,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,NH-62,25.39799,90.69972,,,,Active
ME/WJH/83C03/2015/178,Meghalaya,West Jaintia Hills, ,Leshka,25.265158,92.202239,,,,Suspended
MG/EJH/83C11/2018/5,Meghalaya,East Jaintia Hills,Pdeingrynkati slide,Pdeingrynkati-Saipung road,25.375719,92.610181,,,,Active
MG/WGH/78K06/2020/1,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 1,"NH-217,Paikan-Tura Dalu Road",25.61,90.29,,,,Active
MG/WGH/78G14/2020/1,Meghalaya,West Garo Hills,Tura-Ampati road slide no1,"SH-12,Tura-Ampati Road, near Shakuri, Garobadha, Meghalaya.",25.58,89.99,,,,Active
