Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
TR/WTR/79 M09/2018/004,Tripura,West Tripura,Narengbari landslide,"Champabari, Belbari Block (formerly part of Jirania block)",24.003417,91.45425,,,,Active
TR/WTR/79M05/2018/003,Tripura,West Tripura,Belfung landslide,"Kumbukcherra area, Hezamara Block",24.325444,94.232583,,,,Active
TR/NTR/84D08/2015/35,Tripura,North Tripura, ,Kanchanpur-Jampui road,24.031139,92.2535,,,,Active
TR/DHA/84A02/2015/18,Tripura,Dhalai, ,Budhijoypara,23.692222,92.015833,,,,Active
TR/DHA/84A02/2015/55,Tripura,Dhalai, ,AH post Indo-Bangladesh border,23.653556,92.035139,,,,Active
TR/NTR/84D08/2015/44,Tripura,North Tripura, ,Damcherra-Hmunpui junction road section along Jampui hill range,24.107028,92.276667,,,,Active
TR/WTR/78P08/2018/001,Tripura,West Tripura,Birchandrapara landslide,"Subolsingh, Hezamara R.D. Block",24.781694,93.776056,,,,Active
TR/NTR/84A05/2015/34,Tripura,North Tripura, ,W of Tharmapara,23.897556,92.282889,,,,Active
TR/DHA/84D04/2015/58,Tripura,Dhalai, ,"E of Joimanipara, Kanchanpur- Manu road",24.039139,92.106944,,,,Active
TR/NTR/84A05/2015/32,Tripura,North Tripura, ,W of Tharmapara,23.891083,92.288361,,,,Active
TR/NTR/84A05/2015/12,Tripura,North Tripura, ,~2km S of Bangla village,23.927194,92.275389,,,,Active
