lat,lon,mfi,r_factor,mean_annual_rainfall_mm
25.199,91.244,590.57,2310.66,3803.1
25.199,91.334,643.93,2533.18,4132.0
25.199,91.424,731.04,2896.42,4569.9
25.199,91.514,696.2,2751.14,4411.8
25.199,91.604,748.84,2970.67,4674.3
25.199,91.694,777.04,3088.24,4915.1
25.199,91.784,819.94,3267.13,5227.4
25.199,91.874,837.28,3339.47,5340.6
25.199,91.964,801.84,3191.68,5118.8
25.199,92.054,797.65,3174.21,5086.9
25.199,92.144,743.3,2947.57,4767.8
25.199,92.234,706.61,2794.54,4627.9
25.199,92.324,656.4,2585.2,4391.7
25.199,92.414,596.53,2335.54,3988.7
25.199,92.504,640.15,2517.41,4256.3
25.199,92.594,527.5,2047.68,3581.4
25.199,92.684,429.54,1639.17,3152.4
25.199,92.774,350.82,1310.93,2617.9
25.199,92.864,297.52,1088.68,2190.7
25.289,89.714,293.11,1070.26,2051.0
25.289,89.804,312.47,1151.02,2162.7
25.289,89.894,325.22,1204.17,2224.0
25.289,89.984,328.78,1219.0,2258.3
25.289,90.074,329.6,1222.45,2274.8
25.289,90.164,368.63,1385.18,2520.8
25.289,90.254,406.53,1543.22,2720.6
25.289,90.344,434.99,1661.91,2900.9
25.289,90.434,445.62,1706.23,3004.3
25.289,90.524,463.23,1779.67,3118.9
25.289,90.614,442.95,1695.1,3030.3
25.289,90.704,419.42,1596.99,2925.7
25.289,90.794,417.24,1587.91,2890.8
25.289,90.884,458.66,1760.61,3111.1
25.289,90.974,456.41,1751.23,3045.0
25.289,91.064,456.6,1752.0,3002.3
25.289,91.154,524.89,2036.81,3387.8
25.289,91.244,564.21,2200.75,3637.4
25.289,91.334,648.59,2552.6,4154.2
25.289,91.424,780.15,3101.22,4849.6
25.289,91.514,805.94,3208.78,5035.8
25.289,91.604,805.94,3208.78,5035.8
25.289,91.694,779.48,3098.43,4962.6
25.289,91.784,885.15,3539.05,5540.3
25.289,91.874,885.15,3539.05,5540.3
25.289,91.964,753.1,2988.45,4727.5
25.289,92.054,719.7,2849.17,4500.3
25.289,92.144,639.64,2515.3,4047.3
25.289,92.234,707.81,2799.55,4606.3
25.289,92.324,650.29,2559.72,4309.0
25.289,92.414,542.62,2110.73,3640.9
25.289,92.504,451.69,1731.55,3090.4
25.289,92.594,378.3,1425.5,2675.4
25.289,92.684,357.57,1339.07,2578.8
25.289,92.774,303.4,1113.17,2290.8
25.289,92.864,280.66,1018.35,2078.8
25.379,89.714,307.61,1130.74,2125.3
25.379,89.804,317.35,1171.36,2173.3
25.379,89.894,315.64,1164.21,2157.3
25.379,89.984,308.09,1132.75,2130.5
25.379,90.074,304.33,1117.07,2099.7
25.379,90.164,335.79,1248.24,2320.4
25.379,90.254,403.33,1529.9,2719.0
25.379,90.344,403.33,1529.9,2719.0
25.379,90.434,454.84,1744.68,3071.5
25.379,90.524,392.4,1484.32,2717.8
25.379,90.614,435.8,1665.3,2982.4
25.379,90.704,349.5,1305.43,2457.0
25.379,90.794,335.24,1245.95,2393.0
25.379,90.884,363.58,1364.14,2538.5
25.379,90.974,407.76,1548.36,2786.9
25.379,91.064,432.35,1650.92,2905.7
25.379,91.154,520.16,2017.08,3463.8
25.379,91.244,522.85,2028.28,3536.2
25.379,91.334,559.59,2181.51,3737.8
25.379,91.424,609.58,2389.94,3932.4
25.379,91.514,601.68,2356.99,3806.1
25.379,91.604,601.68,2356.99,3806.1
25.379,91.694,598.01,2341.69,3828.8
25.379,91.784,603.56,2364.84,3862.2
25.379,91.874,610.73,2394.74,3928.1
25.379,91.964,753.1,2988.45,4727.5
25.379,92.054,521.59,2023.05,3409.2
25.379,92.144,421.95,1607.54,2781.9
25.379,92.234,551.03,2145.8,3610.0
25.379,92.324,374.81,1410.96,2607.2
25.379,92.414,323.52,1197.09,2332.2
25.379,92.504,325.15,1203.88,2311.8
25.379,92.594,280.88,1019.26,2073.9
25.379,92.684,256.55,917.82,1987.1
25.379,92.774,267.35,962.85,2061.3
25.379,92.864,264.54,951.14,2009.6
25.469,89.714,321.05,1186.77,2193.1
25.469,89.804,321.6,1189.09,2199.4
25.469,89.894,316.58,1168.12,2167.4
25.469,89.984,310.01,1140.74,2122.8
25.469,90.074,294.84,1077.48,2029.4
25.469,90.164,335.79,1248.24,2320.4
25.469,90.254,302.26,1108.42,2145.3
25.469,90.344,368.13,1383.11,2648.7
25.469,90.434,374.0,1407.57,2712.5
25.469,90.524,372.39,1400.86,2679.4
25.469,90.614,328.57,1218.16,2341.5
25.469,90.704,301.71,1106.12,2143.3
25.469,90.794,304.45,1117.54,2179.1
25.469,90.884,350.08,1307.85,2462.5
25.469,90.974,385.74,1456.53,2706.2
25.469,91.064,399.33,1513.2,2739.3
25.469,91.154,443.73,1698.35,2958.8
25.469,91.244,438.51,1676.59,2928.6
25.469,91.334,559.59,2181.51,3737.8
25.469,91.424,453.2,1737.86,2930.5
25.469,91.514,452.63,1735.48,2894.9
25.469,91.604,452.63,1735.48,2894.9
25.469,91.694,455.21,1746.23,2958.6
25.469,91.784,603.56,2364.84,3862.2
25.469,91.874,470.34,1809.31,3079.2
25.469,91.964,428.27,1633.88,2923.2
25.469,92.054,402.38,1525.92,2768.5
25.469,92.144,323.24,1195.89,2231.2
25.469,92.234,310.06,1140.95,2171.9
25.469,92.324,308.34,1133.78,2183.8
25.469,92.414,282.27,1025.08,2064.3
25.469,92.504,265.61,955.59,1979.8
25.469,92.594,253.2,903.84,1883.1
25.469,92.684,251.53,896.9,1922.0
25.469,92.774,301.48,1105.17,2292.3
25.469,92.864,301.48,1105.17,2292.3
25.559,89.714,337.83,1256.74,2269.7
25.559,89.804,329.87,1223.55,2225.1
25.559,89.894,314.36,1158.89,2145.6
25.559,89.984,312.58,1151.47,2132.8
25.559,90.074,292.49,1067.69,2012.2
25.559,90.164,288.46,1050.9,2083.1
25.559,90.254,291.97,1065.53,2144.5
25.559,90.344,291.97,1065.53,2144.5
25.559,90.434,268.0,965.56,1986.2
25.559,90.524,276.71,1001.9,2038.9
25.559,90.614,276.71,1001.9,2038.9
25.559,90.704,278.92,1011.08,2015.4
25.559,90.794,296.22,1083.23,2145.6
25.559,90.884,341.8,1273.31,2430.6
25.559,90.974,368.04,1382.72,2605.6
25.559,91.064,379.16,1429.1,2614.7
25.559,91.154,404.06,1532.94,2729.2
25.559,91.244,377.37,1421.64,2574.9
25.559,91.334,359.99,1349.15,2421.5
25.559,91.424,395.37,1496.69,2542.1
25.559,91.514,395.37,1496.69,2542.1
25.559,91.604,401.22,1521.09,2577.3
25.559,91.694,404.78,1535.95,2672.3
25.559,91.784,402.72,1527.35,2661.6
25.559,91.874,400.24,1517.02,2646.7
25.559,91.964,361.14,1353.97,2443.8
25.559,92.054,353.1,1320.42,2388.6
25.559,92.144,290.65,1060.02,2011.4
25.559,92.234,286.24,1041.6,2019.4
25.559,92.324,291.55,1063.78,2086.3
25.559,92.414,270.72,976.9,1990.8
25.559,92.504,262.98,944.64,1984.8
25.559,92.594,253.47,904.98,1879.1
25.559,92.684,242.63,859.75,1835.6
25.559,92.774,241.46,854.91,1824.9
25.559,92.864,262.22,941.44,1971.1
25.649,89.714,381.19,1437.58,2480.7
25.649,89.804,364.03,1366.0,2378.8
25.649,89.894,347.1,1295.39,2306.1
25.649,89.984,347.91,1298.79,2321.0
25.649,90.074,332.23,1233.4,2256.7
25.649,90.164,349.28,1304.49,2468.8
25.649,90.254,331.09,1228.63,2366.8
25.649,90.344,297.79,1089.77,2184.5
25.649,90.434,276.88,1002.61,2043.3
25.649,90.524,276.88,1002.61,2043.3
25.649,90.614,275.85,998.27,2037.5
25.649,90.704,285.31,1037.74,2095.6
25.649,90.794,297.31,1087.79,2189.3
25.649,90.884,325.98,1207.34,2387.3
25.649,90.974,335.16,1245.64,2459.7
25.649,91.064,342.84,1277.62,2465.8
25.649,91.154,351.91,1315.46,2516.6
25.649,91.244,337.81,1256.68,2393.3
25.649,91.334,342.33,1275.51,2358.0
25.649,91.424,465.14,1787.64,3114.3
25.649,91.514,488.37,1884.51,3278.5
25.649,91.604,382.12,1441.46,2606.9
25.649,91.694,393.18,1487.54,2696.8
25.649,91.784,577.53,2256.31,3655.0
25.649,91.874,574.17,2242.27,3598.9
25.649,91.964,469.16,1804.41,3064.6
25.649,92.054,332.86,1236.04,2318.7
25.649,92.144,335.27,1246.07,2333.4
25.649,92.234,302.46,1109.26,2158.2
25.649,92.324,312.37,1150.6,2249.5
25.649,92.414,323.4,1196.56,2369.3
25.649,92.504,300.27,1100.14,2279.5
25.649,92.594,300.27,1100.14,2279.5
25.649,92.684,277.62,1005.68,2126.6
25.649,92.774,308.95,1136.31,2290.9
25.649,92.864,272.43,984.01,2032.1
25.739,89.714,387.16,1462.47,2529.7
25.739,89.804,379.83,1431.9,2512.7
25.739,89.894,365.04,1370.23,2427.6
25.739,89.984,375.9,1415.51,2513.9
25.739,90.074,372.18,1400.01,2491.0
25.739,90.164,366.7,1377.15,2554.5
25.739,90.254,366.7,1377.15,2554.5
25.739,90.344,307.2,1129.01,2221.7
25.739,90.434,328.97,1219.81,2367.7
25.739,90.524,308.37,1133.9,2242.4
25.739,90.614,309.82,1139.95,2268.1
25.739,90.704,307.75,1131.32,2273.7
25.739,90.794,312.67,1151.82,2330.6
25.739,90.884,336.8,1252.47,2478.6
25.739,90.974,345.31,1287.94,2508.5
25.739,91.064,372.25,1400.26,2628.7
25.739,91.154,357.7,1339.59,2575.9
25.739,91.244,457.41,1755.4,3062.5
25.739,91.334,457.41,1755.4,3062.5
25.739,91.424,547.82,2132.4,3452.4
25.739,91.514,547.82,2132.4,3452.4
25.739,91.604,508.76,1969.54,3211.6
25.739,91.694,500.7,1935.91,3174.2
25.739,91.784,461.98,1774.48,2919.1
25.739,91.874,420.38,1600.98,2668.4
25.739,91.964,469.16,1804.41,3064.6
25.739,92.054,383.68,1447.96,2565.4
25.739,92.144,344.61,1285.01,2382.0
25.739,92.234,330.57,1226.49,2298.8
25.739,92.324,322.23,1191.72,2252.5
25.739,92.414,323.4,1196.56,2369.3
25.739,92.504,381.42,1438.52,2762.2
25.739,92.594,381.42,1438.52,2762.2
25.739,92.684,308.95,1136.31,2290.9
25.739,92.774,326.87,1211.03,2357.4
25.739,92.864,296.7,1085.24,2123.5
25.829,89.714,389.33,1471.49,2553.3
25.829,89.804,387.88,1465.45,2568.0
25.829,89.894,381.16,1437.44,2528.8
25.829,89.984,383.32,1446.45,2561.1
25.829,90.074,370.98,1394.98,2475.5
25.829,90.164,366.43,1376.0,2537.8
25.829,90.254,360.97,1353.24,2535.1
25.829,90.344,343.35,1279.77,2435.4
25.829,90.434,343.24,1279.33,2449.0
25.829,90.524,330.91,1227.92,2388.8
25.829,90.614,330.04,1224.26,2398.0
25.829,90.704,328.45,1217.66,2411.7
25.829,90.794,340.32,1267.13,2511.7
25.829,90.884,370.79,1394.19,2675.2
25.829,90.974,380.58,1435.02,2671.7
25.829,91.064,410.88,1561.35,2757.0
25.829,91.154,446.63,1710.44,2728.1
25.829,91.244,456.72,1752.51,3031.9
25.829,91.334,418.7,1593.97,2551.6
25.829,91.424,417.03,1587.02,2629.9
25.829,91.514,417.03,1587.02,2629.9
25.829,91.604,458.44,1759.7,2857.1
25.829,91.694,416.49,1584.75,2687.1
25.829,91.784,390.08,1474.63,2548.9
25.829,91.874,384.77,1452.49,2481.2
25.829,91.964,363.71,1364.68,2437.6
25.829,92.054,376.0,1415.92,2570.1
25.829,92.144,349.15,1303.96,2452.2
25.829,92.234,342.45,1276.01,2367.9
25.829,92.324,332.36,1233.95,2320.0
25.829,92.414,320.96,1186.41,2308.9
25.829,92.504,320.96,1186.41,2308.9
25.829,92.594,395.36,1496.66,2734.1
25.829,92.684,380.88,1436.28,2686.1
25.829,92.774,332.97,1236.5,2352.2
25.829,92.864,289.09,1053.5,2058.5
25.919,89.714,427.78,1631.84,2762.8
25.919,89.804,430.94,1645.0,2787.8
25.919,89.894,412.78,1569.29,2679.6
25.919,89.984,417.78,1590.14,2728.2
