Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
AR/WKG/83A03/2021/031,Arunachal Pradesh,West Kameng,NH 13 Slide 28,NH 13/ NW of Kalobtse Mani,27.497222,92.104667,,,,Active
AR/WKG/83A07/2021/013,Arunachal Pradesh,West Kameng,NH 13 Slide 10,NH 13/ NW of Bomdila,27.277417,92.425278,,,,Active
AP/EK/83E03/2021/24,Arunachal Pradesh,East Kameng,NH-31 slide-15,NH-31,27.217333,93.064833,,,,Active
AP/WSG/83I09/2021/104,Arunachal Pradesh,West Siang,Garu-Siji road section slide 3,Garu-Siji road section,27.777278,94.715583,,,,Active
ARN/TWNG/78M14/2016/0005,Arunachal Pradesh,Tawang,Khinmai Monastery slide, ,27.596278,91.894333,,,,Active
AR/WS/82L16/2022/085,Arunachal Pradesh,West Siang,Koreng-Aalo road Slide 1,NH-13,28.235361,94.933333,,,,Active
AR/CHNG/92A03/2022/076,Arunachal Pradesh,Changlang,1.5 km S of Nampong,"NH-315, Nampong-Pangasu Pass road",27.282921,96.122193,,,,Active
AP/E-Siang/82P8/2021/LS18,Arunachal Pradesh,East Siang," North east of Mebo Village, LS-18",NH-52,28.138811,95.254821,,,,Active
AR/ANJ/91D11/2014/37,Arunachal Pradesh,Anjaw, ,H. M. C. Road,28.2625,96.5465,,,,Active
AR/CHNG/92A03/2022/084,Arunachal Pradesh,Changlang,1km W Hetlongx,"NH-315, Jairampur-Manmao road",27.296223,96.013675,,,,Active
AR/US/82P04/2022/023,Arunachal Pradesh,Upper Siang,Pasighat-Yingkiong road Slide 14,NH-513,28.322889,95.203694,,,,Active
AP/LDV/82P16/2022/72,Arunachal Pradesh,Lower Dibang Valley, From Roing 16.57 kms along NH-313 towards Mayudia Pass, NH-313 (Roing-Anini road),28.209062,95.806755,,,,Active
AP/EK/83E03/2021/42,Arunachal Pradesh,East Kameng,Patiwa Village slide-3,NH-39,27.411944,93.010528,,,,Active
AR/USI/82L13/2022/50,Arunachal Pradesh,Upper Siang,Mosing-Tuting Road Slide,Mosing-Tuting Road,28.810126,94.785508,,,,Active
AR/EK/ 83A14/2020-21/23,Arunachal Pradesh,East Kameng,Pakke-Bameng road section slide-8,Pakke-Bameng Road,27.555611,92.962194,,,, Active
AR/EK/ 83A14/2020-21/26,Arunachal Pradesh,East Kameng,Bameng-Tayung road section slide-2,Bameng-Tayung Road,27.530556,92.959167,,,, Active
AR/WS/83I13/2022/101,Arunachal Pradesh,West Siang,NE of Daring Slide 2,Daring road,27.897361,94.844111,,,,Active
AR/ANJ/91D12/2014/42,Arunachal Pradesh,Anjaw,Metengliang slide,H. M. C. Road,28.20867,96.53222,,,,Suspended
AR/US/82P04/2022/021,Arunachal Pradesh,Upper Siang,Pasighat-Yingkiong road Slide 12,NH-513,28.384833,95.233806,,,,Active
AP/AW/91D8/2022/86,Arunachal Pradesh,Anjaw,From Khupa/ KVK Anjaw 11.5 kms along HMH road towards Hunli,Hunli-Metengliang-Hayuliang (HMH) road,28.102005,96.448473,,,,Active
AP/LEP/83I09/2021/81,Arunachal Pradesh,Lepa rada,Garo- Basar road section slide 1,Garo- Basar road section,27.944444,94.692528,,,,Active
AR/LPD/82L12/2021/06,Arunachal Pradesh,Leparada,Tirbin-Basar Road Slide,Tirbin-Basar Road,28.026515,94.590918,,,,Stabilized
ARN/TWNG/78M14/2016/0004,Arunachal Pradesh,Tawang,Namet Slide, ,27.591389,91.9025,,,,Active
AP/DV/82P/13/2022/LS-146,Arunachal Pradesh,East Siang,Anini-Etalin slide,"Anini-Etalin road section, NH-313",28.174973,95.469402,,,,Active
AR/ANJ/91D08/2014/14,Arunachal Pradesh,Anjaw, ,Tohangam-Hayuliang Road,28.05997,96.48664,,,,Reactivated
AP/LDV/82P16/2022/48,Arunachal Pradesh,Lower Dibang Valley, From Roing 23.3 kms along NH-313 towards Hunli,Newly connstructing Roing-Hunli/ Anini road NH-313,28.237008,95.776204,,,,Active
AP/LDV/82P16/2022/53,Arunachal Pradesh,Lower Dibang Valley, From Roing 21.8 kms along NH-313 towards Hunli,Newly connstructing Roing-Hunli/ Anini road NH-313,28.227703,95.781369,,,,Active
AP/PAP/83E12/2021/2,Arunachal Pradesh,Papum Pare,NE of Bidyut Bhavan slide 1,"Bidyut Bhavan, Itanagar",27.103944,93.637611,,,,Active
 ,Arunachal Pradesh,Papum Pare,,,27.09589,93.62284,Debris/unconsolidated materials,Debris slide,-NA-,Suspended
