Sl_No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
135,ASM/WKA/83C09/2016/3,Assam,West Karbi Anglong,SE of Rongsope,Kolonga-Teran-Rongsope road,25.85992,92.72558,Debris,Slide,
136,ASM/DH/83C16/2016/48,Assam,Dima Hasao,NH 54 Rekho slide (3),"NH 54, near Rekho village",25.108778,92.920333,Debris,Slide,
137,AS/DIM/83C16/2017/16,Assam,Dima Hasao,Paschim Bandarkhla4,North of Paschim Bandarkhal,25.072636,92.794514,Soil,Slide,
138,AS/SON/83B09/2018/7,Assam,Sonitpur,Ringkangpur slide-3,Ringkangpur,26.93641,92.70308,Debris,Slide,
139,AS/DIM/83G4/2015/27,Assam,Dima Hasao,Kelelo slide-1,NH-54 Near Kelolo village,25.135,93.04,Earth,Slide,
140,AS/KAM/83B4/2015/93,Assam,Kamrup,2no. Rabingaon,"2 no. Rabingaon, Kamrup",26.112083,92.091028,Debris,Slide,
141,ASM/WKA/83B08/2017/39,Assam,West Karbi Anglong,Nellie-Umswai road slide No.5,Nellie - Umpanai-Umswai road,26.013528,92.266083,Debris,Slide,
142,AS/KAM/83B04/2015/112,Assam,Kamrup,Sakauripara,"Sakauripara, Namghar, Kamrup",26.153556,92.038694,Debris,Slide,
143,AS/DIM/83C16/2017/34,Assam,Dima Hasao,Chhota Kapurchhara1 slide.,NH54,25.108877,92.929125,Soil,Slide,
144,AS/KAM/78N16/2015/77,Assam,Kamrup,Jagdal,"Jagdal, SSB Camp, 1 km north from NH-37, Kamrup",26.129583,91.938306,Debris,Slide,
145,ASM/WKA/83B08/2017/30,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.27,Amsoi- Amtrang road,26.031528,92.472778,Earth,Slide,
146,AS/DIM/83G07/2017/28,Assam,Dima Hasao,Guilong-Semkhor slide No.2,Guilong-Semkhor  road section,25.278917,93.253194,Rock cum debris,Slide,
147,AS/JOR/83J06/2020/17,Assam,Jorhat, ,NH702D,26.57,94.35,Debris,Slide,
148,AS/JOR/83J06/2020/6,Assam,Jorhat, ,Mariani-Chanki Rd,26.55,94.36,Earth,Slide,
149,AS/KAM/83B04/2015/111,Assam,Kamrup,Bejeni-1,"Bejeni-1, Garwani Parbat, Kamrup",26.171972,92.002611,Debris,Slide,
150,ASM/DH/83G4/2016/21,Assam,Dima Hasao,Heuwangaberam-2,"Heuwangaberam village, Mahur",25.18725,93.120556,Debris,Slide,
151,AS/KAM/78N12/2008/B-4,Assam,Kamrup,Shreebhumi Nagar Slide, ,26.13611,91.74056, ,Topple,
152,AS/DIM/83G07/2017/18,Assam,Dima Hasao,Nkio-Prasadimdik slide No.8,Nkio-Prasadimdik road section.,25.443417,93.421444,Debris,Slide,
153,AS/KAM/78N16/2014/07,Assam,Kamrup (Metro),Ganeshpur-Lalmati,"About 500 m south of Game village, Lalmati, NH-37",26.10711,91.78917,Earth,Flow,
154,AS/JOR/83J06/2020/3,Assam,Jorhat, ,Mariani-Chanki Rd,26.56,94.36,Debris,Slide,
155,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,
156,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,Between Mailongdisa and Harangajao railway station (Chainage: 130.100 Km to 130.400 Km),25.124306,92.904278,Debris,Slide,
157,ASM/WKA/83C09/2016/30,Assam,West Karbi Anglong,Hamren-4,Hamren,25.85544,92.57369,Debris,Slide,
158,AS/DIM/83G07/2017/66,Assam,Dima Hasao,Thingje-Hereilo slide No.2,Thingje-Hereilo  road section,25.264056,93.409528,Rock cum debris,Slide,
159,AS/CAC/83H01/2018/54,Assam,Cachar,Lailongchara 2,Near Lailongchara village,24.97692,93.033,Rock,Fall,
160,AS/JOR/83J06/2020/5,Assam,Jorhat, ,Mariani-Chanki Rd,26.55,94.36,Earth,Slide,
161,AS/CHR/83D13/2020/6,Assam,Cachar,Balichhara slide-3,"NH-27(Old NH-54E, Silchar-Lumding road)",24.98,92.75,Debris,Slide,
162,AS/DIM/83C16/2017/23,Assam,Dima Hasao,Bandarkhal7,NH54,25.049444,92.79725,Soil,Slide,
163,AS/DIM/83G4/2015/34,Assam,Dima Hasao,Kelelo -2,"Kelelo village,NH-54",25.137,93.034,Earth,Flow,
164,AS/DIM/83G07/2017/31,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.1,Kepre Tongikro Mongjang road section.,25.438694,93.362583,Debris,Slide,
165,AS/DIM/83G07/2017/38,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.7,Kepre Tongikro Mongjang road section.,25.420278,93.371306,Debris,Slide,
166,AS/DIM/83G4/2015/13,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.107,93.002,Earth,Slide,
167,ASM/DH/83C16/2016/51,Assam,Dima Hasao,Ritzawl slide (3),"NH-54, near Ritzawl village",25.110778,92.987917,Debris,Slide,
168,AS/KAM/78N12/2014/02,Assam,Kamrup,Kamakhaya Nursery,SH:AT Road,26.1625,91.71444,Debris,Flow,
169,ASM/DH/83G4/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, Haflong",25.150694,93.025833,Debris,Slide,
170,AS/SON/83B13/2018/3,Assam,Sonitpur,GaroBasti  slide,GaroBasti,26.92088,92.75933,Debris,Slide,
171,AS/KAM/78N12/2015/67,Assam,Kamrup,KamakhyaBhubaneswari,"Nilachal Pahar, Guwahati.",26.166583,91.714806,Rock,Slide,
172,ASM/WKA/83C09/2016/18,Assam,West Karbi Anglong,N of Rongkhong-4,"SH-18, Hamren-Umpu road",25.81175,92.55003,Earth,Slide,
173,ASM/WKA/83B08/2017/41,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.1,"~1.5 Km South of Mortin, Sunani  - Umpanai road",25.977194,92.354778,Debris,Slide,
174,AS/CHR/83D13/2020/3,Assam,Cachar,Guabari slide-1,Guabari,24.98,92.96,Debris,Slide,
175,ASM/NAG/83B08/2017/03,Assam,Nagaon,Amsoi-Amtrang road slide No.3,Amsoi- Amtrang road,26.117111,92.441028,Debris,Slide,
176,ASM/DH/83G4/2016/39,Assam,Dima Hasao,Haflong-Gunjung road section slide-10,Lower Haflong,25.199722,93.016722,Debris,Slide,
177,AS/KAR/83F06/2018/2,Assam,Karbi Anglong,Bagori quarry slide,Bagori,26.57719,93.10008,Debris,Slide,
178,ASM/WKA/83C09/2016/16,Assam,West Karbi Anglong,N of Rongkhong-2,"SH-18, Hamren-Umpu road",25.81428,92.55422,Debris,Slide,
179,AS/DIM/83C16/2017/15,Assam,Dima Hasao,Paschim Bandarkhla3,West of Paschim Bandarkhal,25.061375,92.795906,Debris,Slide,
180,AS/KAR/83F06/2018/5,Assam,Karbi Anglong,Panbari Parbat slide,Panbari Parbat,26.60275,93.48408,Debris,Slide,
181,AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide.,"Near Phiding Railway Station. Between Mahur and Phiding RS, NFR.",25.224278,93.222861,Debris,Slide,
182,AS/DIM/83C16/2017/37,Assam,Dima Hasao,Bandarkhal11,NH54,25.046444,92.789667,Debris,Slide,
183,AS/DIM/83G07/2017/59,Assam,Dima Hasao,Daoblibdisa market slide No.5,Near Daoblibdisa market,25.4375,93.404444,Debris,Slide,
184,AS/CHR/83D13/2020/2,Assam,Cachar,Balichhara slide-2,"NH-27(Old NH-54E, Silchar-Lumding road)",24.99,92.75,Debris,Slide,
185,AS/DIM/83G07/2017/8,Assam,Dima Hasao,New Nkio-Phaikulum slide No.2.,New Nkio-Phaikulum road section.,25.435917,93.455944,Debris,Slide,
186,AS/KAR/83G09/2017/1,Assam,Karbi Anglong,Dhansiri,DiphuDhansiri road,25.81044,93.58616,Soil,Slide,
187,ASM/DIM/83C15/2017/03,Assam,Dima Hasao,Kobak Slide.,New Sangbar_ Kobak District Road.,25.257696,92.809603,Earth,Slide,
188,AS/DIM/83G4/2015/65,Assam,Dima Hasao,Nutan Leikul-Kelelo  Sinking zone,On NH-54,25.134,93.045,Earth,Slide,
189,AS/JOR/83J06/2020/9,Assam,Jorhat, ,Mariani-Chanki Rd,26.54,94.37,Earth,Slide,
190,AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide, ,26.20261,91.14528,Debris, ,
191,AS/DIM/83G07/2017/27,Assam,Dima Hasao,Guilong-Semkhor slide No.1,Guilong-Semkhor  road section,25.278472,93.252972,Rock cum debris,Slide,
192,ASM/WKA/83B08/2017/36,Assam,West Karbi Anglong,Nellie-Umswai road slide No.3,Nellie - Umpanai-Umswai road,26.036583,92.273056,Debris,Slide,
193,AS/DIM/83G4/2015/23,Assam,Dima Hasao,Mupa slide,North to Mupa,25.387,93.12,Earth,Flow,
194,AS/KAM/78N12/2015/70,Assam,Kamrup,Matiapahar,"Matiapahar, Natun bosti near Rani gate",26.105806,91.62275,Rock cum Debris,Slide,
195,AS/KAR/83F06/2018/1,Assam,Karbi Anglong,Paniramtokbi slide,Paniramtokbi,26.5235,93.28166,Debris,Slide,
196,ASM/WKA/83B08/2017/18,Assam,West Karbi Anglong,Nellie-Umswai road slide No.1,Nellie - Umpanai-Umswai road,26.042139,92.27525,Rock cum Debris,Slide,
197,AS/DIM/83G07/2017/19,Assam,Dima Hasao,Nutan Hajong-Nablaidisa slide No.1,Nutan Hajong-Nablaidisa road section,25.362583,93.257722,Debris,Slide,
198,ASM/DH/83G4/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong",25.171889,93.003944,Debris,Slide,
199,ASM/DIM/83C15/2017/15,Assam,Dima Hasao,Amrudisa Slide,Near  Amrudisa  village,25.441757,92.907383,Earth,Slide,
200,AS/KAM/78N16/2015/84,Assam,Kamrup,Salbari,"Salbari, Nepali chowk, Kharghuli Hill, Kamrup",26.191667,91.803611,Debris,Slide,
201,AS/NAG/83F02/2018/1,Assam,Nagaon,Kalapani slide,Kalapani,26.56111,93.04925,Debris,Slide,
202,ASM/NAG/83B08/2017/02,Assam,Nagaon,Amsoi-Amtrang road slide No.2,"~1.5 Km East of Rongphigaon,  Amsoi- Amtrang road",26.118167,92.440944,Earth,Slide,
203,AS/DIM/83G07/2017/32,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.2,Kepre Tongikro Mongjang road section.,25.4255,93.363944,Debris,Slide,
204,AS/DIM/83G4/2015/38,Assam,Dima Hasao,Impoi,"Near Impoi village, Laisong road",25.189,93.226,Earth,Slide,
205,AS/DIM/83G4/2015/62,Assam,Dima Hasao,Phaeding-Sunbung Subsidence,8.5 km from Mahur; NH-54,25.186,93.104,Earth,Slide,
206,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,Debris,Slide,
207,AS/KAR/83F03/2018/3,Assam,Karbi Anglong,Samelangso-Langlangso road slide-2,Samelangso-Langlangso road,26.297306,93.211833,Debris,Slide,
208,ASM/DH/83G4/2016/20,Assam,Dima Hasao,Newngalsong,"Newngalsong village, Mahur",25.184528,93.125639,Debris,Slide,
209,AS/HKN/83D10/2020/1,Assam,Hailakandi,Dwarbond- Bilaipur slide,Dwarbond- Bilaipur road,24.55,92.74,Debris,Slide,
210,ASM/DH/83G4/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong",25.155722,93.022778,Earth,Slide,
211,AS/KAM/78N12/2008/B-4,Assam,Kamrup,Shreebhumi Nagar Slide, ,26.13611,91.74056, ,Topple,
212,AS/KAM/78N16/2007/B-2,Assam,Kamrup,Salbari Slide, ,26.18917,91.80111, , ,
213,AS/DIM/83G4/2015/48,Assam,Dima Hasao,Riao,Near Riao Village.,25.204,93.059,Earth,Slide,
214,AS/DIM/83G4/2015/64,Assam,Dima Hasao,Pura Sinking Zone village,Pura village on NH-54,25.157,93.062,Earth,Slide,
215,AS/DIM/83G4/2015/14,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.106,93.001,Earth,Slide,
216,ASM/WKA/83C09/2016/12,Assam,West Karbi Anglong,S of Ambinong-2,"SH-18, Hamren-Umpu road",25.82528,92.54775,Rock cum Debris,Slide,
217, ,Assam,Karimganj,,,24.78002778,92.45372222,,,First incidence occurred on 02.06.2020
218,ASM/WKA/83C09/2016/35,Assam,West Karbi Anglong,N of Langchar Terongaon,"SH-18, Baithalangso-Tika road",25.95386,92.60367,Debris,Slide,
219,ASM/DIM/83C15/2017/13,Assam,Dima Hasao,Sericulture farm slide.,"Near Sericulture, Dehangi-Umrangso road",25.41616,92.778653,Debris cum earth,Slide,
220,AS/DIH/83G08/2020/36,Assam,Dima Hasao, ,P. Songkai to Natun Songkai road,25.1,93.28,Debris,Slide,
221,AS/DIM/83C16/2017/09,Assam,Dima Hasao,Duiheng2,Old HaflongSilchar road,25.078935,92.95379,Debris,Slide,
222,ASM/DIM/83C15/2017/02,Assam,Dima Hasao,Bagha Slide,Umrangso_Dehangi Highway,25.40837,92.82826,Rock,Slide,
223,AS/DIM/83C16/2017/08,Assam,Dima Hasao,Duiheng1,Old HaflongSilchar road,25.088389,92.958944,Debris,Slide,
224,AS/DIM/83G4/2015/36,Assam,Dima Hasao,Kelelo-4,Kelelo NH-54,25.136,93.04,Earth,Slide,
225,AS/KAR/83F15/2018/2,Assam,Karbi Anglong,Numaligarh-Silonijan road slide 2,Numaligarh-Silonijan road,26.34838,93.78208,Soil,Slide,
226,AS/KAR/83F11/2018/3,Assam,Karbi Anglong,Nahor Langso-3,Daigurung road,26.3477,93.7399,Debris,Slide,
227,AS/KAR/83F15/2018/3,Assam,Karbi Anglong,Thedanghanse- Teranggaon road slide,Thedanghanse- Teranggaon road,26.34938,93.78091,Debris,Slide,
228,ASM/NAG/83B08/2017/14,Assam,Nagaon,Amsoi-Amtrang road slide No.14,"~300 meter North of Garampani, Amsoi- Amtrang road",26.096722,92.43875,Rock,Fall,
229,ASM/WKA/83C09/2016/14,Assam,West Karbi Anglong,S of Ambinong-4,"SH-18, Hamren-Umpu road",25.82108,92.544,Debris,Slide,
230,AS/DIH/83G08/2020/7,Assam,Dima Hasao, ,"Along Jenam river, Laisong area",25.22,93.29,Debris,Slide,
231,AS/KAM/78N16/2014/02,Assam,Kamrup (Metro),Udayachal Slide.,Guwahati-Shillong Road,26.15478,91.77411,Earth,Flow,
232,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,Debris,Slide,
233, ,Assam,Kamrup (Metro),,,26.1505375,91.72798139,,,No   prior   record   of   landslide.   First   incidence   reported   on 17.06.2023 at 18:00 hrs.
234,ASM/WKA/83B08/2017/22,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.19,"~1.2 Km North-East of Dolaigaon, Amsoi- Amtrang road",26.043611,92.440944,Debris,Slide,
235,ASM/NAG/83B08/2017/10,Assam,Nagaon,Amsoi-Amtrang road slide No.10,Amsoi- Amtrang road,26.103028,92.440889,Earth,Slide,
236, ,Assam,Udalguri,,,26.88969,92.12266,,,"As per the multi temporal images of satellite imageries, the landslides had occurred in the year 2013 & subsequent
reactivation due to the earthquake on 28/04/2021."
237,AS/CHR/83D09/2020/5,Assam,Cachar,Dinonatpur slide,Dinonatpur,24.96,92.66,Debris,Slide,
238,ASM/WKA/83B08/2017/44,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.4,~1Km North-West of Ulukunchi. Sunani  - Umpanai road,25.961444,92.341333,Rock cum Debris,Slide,
239,AS/DIM/83G07/2017/45,Assam,Dima Hasao,Kepre-Koladisa Prasadimdik  slide No.1,Kepre-Koladisa  Prasadimdik   road section,25.447528,93.364417,Rock cum debris,Slide,
240,ASM/DH/83C16/2016/45,Assam,Dima Hasao,Harangajao Slide,"NH 54, Harangajao",25.106389,93.031472,Debris,Slide,
241,ASM/DH/83C16/2016/47,Assam,Dima Hasao,NH 54 Rekho slide (2),"NH 54, near Rekho village",25.109889,92.893167,Debris,Slide,
242,AS/KAR/83F06/2018/6,Assam,Karbi Anglong,Teranggaon slide,Dathora -Teranggaon road.,26.51925,93.47147,Soil,Slide,
243,ASM/WKA/83C09/2016/27,Assam,West Karbi Anglong,Power house Amtreng,Karbi Langpi hydro dam (power house road),25.95931,92.51753,Debris,Slide,
244,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,NH44,25.029708,92.463967,Debris,Slide,
245,ASM/WKA/83B08/2017/38,Assam,West Karbi Anglong,Nellie-Umswai road slide No.4,"~500 meter North of Asukunchi, Nellie - Umpanai-Umswai road",26.022833,92.274028,Earth,Slide,
246,AS/DIM/83G07/2017/11,Assam,Dima Hasao,Nkio Prasadimdik slide No.1,NkioPrasadimdik road section,25.443639,93.431444,Debris,Slide,
247,ASM/DH/83G4/2016/40,Assam,Dima Hasao,Lungkok slide (Haflong - Gunjung road-11),"Haflong - Gunjung road section, Lungkok village, Lower Haflong",25.196694,93.018583,Rock cum Debris,Slide,
248,AS/DIM/83C16/2017/40,Assam,Dima Hasao,Durbintola3,NH54,25.0365,92.780417,Debris,Slide,
249,AS/KAM/78N16/2008/B-3,Assam,Kamrup,Daksin Saraniya Slide, ,26.17806,91.76083, , ,
250,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,Debris,Slide,
251,AS/DIM/83G4/2015/41,Assam,Dima Hasao,Pura slide.-2,Near Pura village,25.155,93.067,Earth,Slide,
252,AS/DIM/83G07/2017/42,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.11,Kepre Tongikro Mongjang road section.,25.4025,93.392194,Soil,Slide,
253,ASM/KMP/78N16/2016/57,Assam,Kamrup (Metro),Jyotinagar Slide,"Akashi Nagar, Jyoti Nagar, Guwahati.",26.1895,91.787167,Earth,Slide,
254,ASM/WKA/83B08/2017/47,Assam,West Karbi Anglong,Hamren-Longpai road slide,"~1 Km North of Longpai, Longpai road section",25.809417,92.474833,Rock cum Debris,Slide,
255,ASM/DH/83G4/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,Haflong  town,25.157361,93.016083,Rock cum Debris,Slide,
256,AS/JOR/83J06/2020/14,Assam,Jorhat, ,NH702D (After Tsetapda Gate),26.6,94.35,Rock,Slide,
257,ASM/WKA/83B08/2017/32,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.29,"~1.5 Km North of Duronggaon, Amsoi- Amtrang road",26.030972,92.474139,Earth,Slide,
258,AS/DIM/83G07/2017/14,Assam,Dima Hasao,Nkio-Prasadimdik slide No.4,Nkio-Prasadimdik road section.,25.444167,93.425528,Rock cum debris,Slide,
259,AS/DIM/83G07/2017/29,Assam,Dima Hasao,Guilong-Semkhor slide No.3,Guilong-Semkhor road section.,25.282861,93.296111,Debris,Slide,
260,ASM/KMP/78N16/2016/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan Nagar, Guwahati",26.195528,91.780556,Earth,Slide,
261,AS/SON/83B09/2018/6,Assam,Sonitpur,Ringkangpur slide-2,Ringkangpur,26.93597,92.70455,Debris,Slide,
262,ASM/WKA/83C09/2016/24,Assam,West Karbi Anglong,Amlong,Hamren-Amlong road,25.84494,92.61514,Debris,Slide,
263,AS/CHR/83C12/2020/2,Assam,Cachar,Bhamai slide-2,Karbi Houses (Bhamai river side),25.02,92.52,Debris,Slide,
264,AS/DIH/83G08/2020/46,Assam,Dima Hasao, ,"Along Jenam river, Laisong area",25.17,93.29,Debris,Slide,
265,AS/JOR/83J06/2020/2,Assam,Jorhat, ,Mariani-Chanki Rd,26.56,94.36,Earth,Slide,
266,AS/DIM/83G07/2017/60,Assam,Dima Hasao,Sengya Sambhudhan school slide No.1,Approx. 500 m south of Sengya Sambhudhan school,25.436528,93.4065,Debris,Slide,
267,AS/JOR/83J06/2020/4,Assam,Jorhat, ,Mariani-Chanki Rd,26.56,94.36,Earth,Slide,
268,AS/CHR/83C12/2020/1,Assam,Cachar,Bhamai slide-1,Karbi houses(Bhamai river side),25.02,92.52,Debris,Slide,
269,AS/KAM/83B4/2015/97,Assam,Kamrup,Enroute Noonmati-2,"En-route Noonmati-2, Kamrup",26.065167,92.150639,Debris,Slide,
270,AS/KAM/78N16/2014/06,Assam,Kamrup (Metro),Dakhingaon,Kahilipara-Ganesh mandir road.,26.13442,91.7501,Earth,Flow,
271,AS/JOR/83J06/2020/11,Assam,Jorhat, ,Mariani-Chanki Rd (New Chungiayimsen),26.54,94.37,Earth,Slide,
272,AS/DIM/83C16/2017/17,Assam,Dima Hasao,Bandarkhal2,NH54,25.061417,92.806833,Debris,Slide,
273,ASM/KMP/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti-Bongaon slide,"Panikhaiti, Bongaon, near railway line.",26.20536,91.86497,Debris,Slide,
274,AS/KAM/83B4/2015/95,Assam,Kamrup,Nibira Gaon,"Nibira Gaon, Anganbari, Kamrup",26.094578,92.135144,Earth,Slide,
275,ASM/WKA/83B08/2017/31,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.28,"~1.2 Km North of Duronggaon, Amsoi- Amtrang road",26.031583,92.47375,Earth,Slide,
276,ASM/HAI/83D10/2016/02,Assam,Hailakandi,Lalcherra Slide (Raboinala), ,24.51131,92.69303,Earth,Slide,
277,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,NH44,25.032989,92.462214,Debris,Slide,
278,AS/JOR/83J06/2020/20,Assam,Jorhat, ,NH702D,26.56,94.36,Earth,Slide,
279,AS/GOA/78J08/2018/1,Assam,Goalpara,Suapata landslide,NH-31/Suapata,26.198,90.298,Rock cum debris,Slide,
280,AS/DIM/83G4/2015/37,Assam,Dima Hasao,Asalu slide,"Laisong road, Asalu.",25.189,93.192,Earth,Slide,
281,AS/CHR/83C12/2020/6,Assam,Cachar,NH -27 slide 2,"NH-27(Old NH-54E, Silchar-Lumding road)",25.01,92.75,Debris,Slide,
282,AS/DIM/83G07/2017/67,Assam,Dima Hasao,Greenwood school compound Slide.,"Greenwood school compound, Khepre.",25.437722,93.349889,Soil,Slide,
283,AS/SON/83B09/2018/1,Assam,Sonitpur,Jarabari slide,Pogijuli area,26.92666,92.73966,Debris,Slide,
284,AS/BON/78J11/2018/1,Assam,Bongaigaon,Nayapara Railway Tunnel,Nayapara,26.3733,90.5499,Rock cum debris,Slide,
285,AS/DIH/83G08/2020/40,Assam,Dima Hasao, ,"Along Jenam river, Laisong area",25.19,93.3,Rock,Slide,
286,AS/DIM/83C16/2017/31,Assam,Dima Hasao,Bara Mulkai sinking zone.,NH54,25.107546,92.885543,Debris,Slide,
287,AS/HKN/83D11/2020/2,Assam,Hailakandi,Garapunjislide,Telecherra,24.46,92.52,Debris,Slide,
288,AS/DIH/83G08/2020/31,Assam,Dima Hasao, ,P. Songkai to Natun Songkai road,25.1,93.28,Rock,Slide,
289, ,Assam,Hailakandi,,,24.73117,92.64739,,,"Initiated in 2018 monsoon, reactivated on 02.06.2020"
290,ASM/WKA/83B08/2017/24,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.21,"~1Km South-West ofTakbigang, Amsoi- Amtrang road",26.045806,92.450778,Earth,Slide,
291,AS/KAM/78N16/2007/B-2,Assam,Kamrup,Salbari Slide, ,26.18917,91.80111, , ,
292,ASM/DH/83G4/2016/02,Assam,Dima Hasao,New Haflong R. S slide(1),West slope of New Haflong Railway Station.,25.146778,93.030972,Rock cum Debris,Slide,
293,AS/CHR/83D09/2020/9,Assam,Cachar,Khurkurie slide,Khurkurie,24.99,92.6,Debris,Slide,
294,AS/KAR/83G09/2017/11,Assam,Karbi Anglong,Gautam basti,NH39,25.95514,93.72997,Debris,Slide,
295,ASM/DH/83G4/2016/37,Assam,Dima Hasao,Haflong - Gunjung road section slide-08,Near  Gunjung village road section,25.2185,93.013111,Debris,Slide,
296,AS/DIM/83G07/2017/2,Assam,Dima Hasao,New Nkio-Phaikulum slide No.1.,New Nkio-Phaikulum road section.,25.436972,93.454111,Debris,Slide,
297,AS/NAG/83F02/2018/6,Assam,Nagaon,NH-37 slide-3,NH-37,26.57463,93.11297,Debris,Slide,
298,AS/CHR/83D13/2020/5,Assam,Cachar,Nagadun slide,Nagadun,24.96,92.92,Debris,Slide,
299,AS/DIM/83G4/2015/53,Assam,Dima Hasao,Semdikhar,"Semdikhar,NH-54",25.206,93.126,Earth,Slide,
300,AS/CAC/83H01/2018/55,Assam,Cachar,Lailongchara 3,Lailongchara village,24.97228,93.03289,Debris,Slide,
301,AS/DIM/83G07/2017/35,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.5,Kepre Tongikro Mongjang road section.,25.423806,93.369722,Debris,Slide,
302,AS/DIM/83C16/2017/39,Assam,Dima Hasao,Durbintola2,NH54,25.039722,92.781889,Debris,Slide,
303,AS/DIM/83G07/2017/26,Assam,Dima Hasao,Darangibra-Kepre slide No.2,Darangibra-Kepre road section.,25.439372,93.354197,Debris,Slide,
304,AS/DIM/83G4/2015/39,Assam,Dima Hasao,Asalu-2,"Asalu,NH-54",25.191,93.192,Earth,Slide,
305,AS/DIM/83G4/2015/44,Assam,Dima Hasao,Pangmol,Near Pangmol village,25.169,93.155,Earth,Slide,
306,AS/KAM/78N16/2015/73,Assam,Kamrup,Amchang TG-3,Amchang Tea Garden,26.159333,91.917611,Rock cum Debris,Slide,
307,AS/KAR/83F03/2018/6,Assam,Karbi Anglong,Samelangso-Langlangso road slide-5,Samelangso-Langlangso road,26.303333,93.225694,Debris,Slide,
308,ASM/DH/83G4/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong",25.175972,93.020167,Debris,Slide,
309,AS/DIM/83G07/2017/33,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.3,Kepre Tongikro Mongjang road section.,25.425611,93.364444,Debris,Slide,
310,AS/KAR/83G09/2017/18,Assam,Karbi Anglong,Nowgong1,DiphuDimapur road,25.84541,93.68312,Debris,Slide,
311,ASM/DH/83G4/2016 /35,Assam,Dima Hasao,Haflong - Gunjung road section soil creep-6,Haflong - Gunjung road section,25.232306,93.033444,Earth,Creep,
312,AS/SON/83F05/2018/2,Assam,Sonitpur,Balijan forest road slide-2,Balijan forest road,26.95052,93.45136,Debris,Slide,
313,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul ,NH-44,24.70619,92.28997,Earth,Flow,
314,AS/HKN/83D10/2020/4,Assam,Hailakandi,Dholaikhal slide,Inner Line Reserved Forest,24.51,92.75,Rock,Slide,
315,ASM/DIM/83C15/2017/10,Assam,Dima Hasao,Vaitongsip Slide,Vaitongsip village,25.336054,92.82053,Earth,Slide,
316,ASM/WKA/83C09/2016/20,Assam,West Karbi Anglong,NE of Pangyatiso-1,Mikading-Pangyatiso-Ranghidi road,25.8515,92.69203,Earth cum Rock,Slide,
317,AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,
318,AS/DIH/83G08/2020/1,Assam,Dima Hasao, ,Data collected from Mahur-Toulpui road.,25.2,93.25,Rock,Slide,
319,AS/SON/83B09/2018/4,Assam,Sonitpur,Dopdopi slide-1,Dopdopi,26.9358,92.70369,Debris,Slide,
320,AS/DIH/83G08/2020/14,Assam,Dima Hasao, ,Data recorded from Hejaichak to Hangrum road,25.18,93.33,Debris,Slide,
321,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,Debris,Slide,
322,AS/SON/83F05/2018/3,Assam,Sonitpur,Balijan forest road slide-3,Balijan forest road,26.9498,93.45291,Debris,Slide,
