Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MN/TML/83G08/2020/52,Manipur,Tamenglong, ,Below Namtiran village,25.07,93.43,,,,Active
MN/TEN/83L03/2018/25,Manipur,Tengnoupal, ,1km SE of Sita village,24.445222,94.230583,,,,Relict
MN/UKH/83K11/2017/40,Manipur,Ukhrul, ,Poi,25.287306,94.539833,,,,Active
MN/NON/83H10/2018/47,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway. Towards Toudaijang.",24.718567,93.500017,,,,Dormant
MAN/TAM/83G12/2017/0126,Manipur,Tamenglong, ,Dailong road,25.14625,93.671194,,,,Suspended
MAN/SEN/83K03/2015/4,Manipur,Senapati, ,Senapati along NH-39,25.279389,94.032194,,,,Active
MN/CHA/83L03/2018/2,Manipur,Chandel, ,Khongjam,24.272667,94.075083,,,,Suspended
MAN/SEN/83K03/2007/C-12,Manipur,Senapati,Shajouba landslide, ,25.47217,94.15433,,,, 
MN/UKH/83K11/2017/58,Manipur,Ukhrul, ,TusomC V,25.394361,94.628222,,,,Active
MN/NON/83H09/2018/32,Manipur,Noney, ,"NH-37, 310 ABOVE THE ROAD",24.860347,93.572383,,,,Active
MN/UKH/83K11/2017/94,Manipur,Ukhrul, ,New Tusom,25.420722,94.577722,,,,Active
MN/NON/83H05/2018/40,Manipur,Noney, ,Khongsang,24.8,93.472222,,,,Active
MN/NON/83H09/2018/76,Manipur,Noney, ,Kharam to Noney road,24.834386,93.715025,,,,Active
MN/NON/83H10/2018/74,Manipur,Noney, ,Noney Town,24.861264,93.627742,,,,Active
MN/CHA/83L03/2018/4,Manipur,Chandel, ,Khongjam,24.280472,94.073833,,,,Suspended
MAN/TAM/83H09/2007/C-6,Manipur,Tamenglong,Tamenglong-2 slide, ,24.99694,93.50222,,,, 
MN/NON/83H10/2018/49,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.644889,93.619583,,,,Active
MN/KAN/83H13/2018/5,Manipur,Kangpokpi, ,Longa koireng,24.7895,93.774222,,,,Active
MN/NON/83H10/2018/4,Manipur,Noney, ,Zouyantek to Imphal highway,24.639311,93.691111,,,,Active
MN/PZL/83H04/2020/4,Manipur,Pherzawl, ,Near Lungthulien Village.,24.23,93.09,,,,Active
MN/TEN/83L03/2018/18,Manipur,Tengnoupal, ,Sita village,24.454953,94.225406,,,,Relict
MAN/SEN/83K03/2015/24,Manipur,Senapati, ,North of New Magamai,25.4351,94.071111,,,,Active
MAN/SEN/83K03/2015/63,Manipur,Senapati, ,Along Thingba Khullen and Oinam raod,25.339872,94.168736,,,,Active
MN/UKH/83K12/2017/72,Manipur,Ukhrul, ,Khamasom,25.180611,94.525278,,,,Active
MN/TAM/83H06/2018/11,Manipur,Tamenglong, ,Tolen,24.734861,93.296,,,,Active
MN/CHU/83H10/2018/88,Manipur,Churachandpur, ,Data taken from  Nalon village,24.536556,93.670047,,,,Active
MN/TAM/83H05/2018/3,Manipur,Tamenglong, ,Tamenglong,24.94775,93.492889,,,,Active
MN/KAM/83L09/2017/19,Manipur,Kamjong, ,"Chattrick
Kamjong road",24.884389,94.601306,,,,Active
MN/KAM/83L05/2018/57,Manipur,Kamjong, ,0.7 km W of Godah Village,24.901861,94.341944,,,,Reactivated
MAN/UKH/83K07/2015/036,Manipur,Ukhrul, ,1.5km NW of Razai villae,25.392389,94.454333,,,,Active
MN/UKH/83K12/2017/51,Manipur,Ukhrul, ,Chammu,25.066861,94.6325,,,,Active
MAN/UKH/83K08/2015/041,Manipur,Ukhrul, ,Below Ukhrul town,25.113278,94.352722,,,,Active
MN/PZL/83H03/2020/8,Manipur,Pherzawl, ,Taithu Village.,24.31,93.12,,,,Active
MAN/UKH/83K08/2015/016,Manipur,Ukhrul, ,2km E of Gamnum,25.023111,94.449361,,,,Active
MN/NON/83H05/2018/63,Manipur,Noney, ,Rengpang,24.751111,93.459361,,,,Active
MN/PZL/83H03/2020/10,Manipur,Pherzawl, ,1.5 km south west of Taithu Village.,24.29,93.11,,,,Active
MN/TAM/83H05/2018/99,Manipur,Tamenglong, ,Sangrungpang,24.877417,93.460583,,,,Active
MAN/SEN/83K04/2015/100,Manipur,Senapati, ,Along Saikul road,25.038753,94.152236,,,,Active
