lat,lon,mfi,r_factor,mean_annual_rainfall_mm
25.549,95.027,431.42,1647.01,2822.1
25.549,95.117,535.85,2082.48,3047.3
25.549,95.207,619.41,2430.92,3497.4
25.549,95.297,503.41,1947.23,2794.3
25.639,93.227,245.34,871.07,1974.0
25.639,93.317,231.05,811.47,1874.5
25.639,93.407,206.01,707.04,1600.7
25.639,93.497,231.67,814.07,1765.4
25.639,93.587,231.67,814.07,1765.4
25.639,93.677,250.83,893.98,1945.8
25.639,93.767,271.96,982.08,2124.7
25.639,93.857,323.63,1197.54,2355.9
25.639,93.947,343.03,1278.45,2706.5
25.639,94.037,419.92,1599.07,3128.6
25.639,94.127,560.45,2185.07,4006.1
25.639,94.217,348.56,1301.5,2497.4
25.639,94.307,335.49,1247.0,2428.9
25.639,94.397,269.07,970.03,1924.8
25.639,94.487,270.25,974.93,2035.7
25.639,94.577,235.87,831.6,1643.6
25.639,94.667,274.57,992.97,1739.1
25.639,94.757,342.98,1278.22,2369.7
25.639,94.847,240.47,850.75,1552.5
25.639,94.937,392.66,1485.4,2455.8
25.639,95.027,458.45,1759.74,2812.9
25.639,95.117,454.24,1742.16,2882.0
25.639,95.207,733.7,2907.52,4925.3
25.639,95.297,561.05,2187.57,3113.0
25.729,93.227,244.32,866.81,1880.9
25.729,93.317,244.61,868.03,1935.5
25.729,93.407,210.44,725.54,1670.4
25.729,93.497,202.55,692.64,1552.8
25.729,93.587,207.8,714.54,1620.4
25.729,93.677,250.83,893.98,1945.8
25.729,93.767,250.83,893.98,1945.8
25.729,93.857,271.37,979.62,1906.2
25.729,93.947,449.84,1723.85,3120.6
25.729,94.037,439.26,1679.73,3119.5
25.729,94.127,340.49,1267.83,2548.3
25.729,94.217,253.93,906.9,1870.7
25.729,94.307,281.71,1022.73,2048.9
25.729,94.397,291.73,1064.52,2181.2
25.729,94.487,268.97,969.61,1985.3
25.729,94.577,255.62,913.93,1791.0
25.729,94.667,236.91,835.89,1435.8
25.729,94.757,220.05,765.62,1320.4
25.729,94.847,220.05,765.62,1320.4
25.729,94.937,311.37,1146.41,1888.2
25.729,95.027,449.51,1722.47,2796.5
25.729,95.117,510.4,1976.36,3616.0
25.729,95.207,733.7,2907.52,4925.3
25.729,95.297,673.13,2654.94,4020.7
25.819,93.227,225.86,789.85,1726.9
25.819,93.317,252.24,899.86,1967.7
25.819,93.407,252.55,901.14,1987.1
25.819,93.497,236.26,833.22,1815.8
25.819,93.587,256.6,918.03,2030.1
25.819,93.677,285.78,1039.7,2215.5
25.819,93.767,241.98,857.05,1984.3
25.819,93.857,275.8,998.1,1907.9
25.819,93.947,296.55,1084.63,2041.6
25.819,94.037,314.03,1157.51,2248.4
25.819,94.127,240.88,852.47,1889.5
25.819,94.217,240.71,851.76,1801.5
25.819,94.307,285.66,1039.19,2062.6
25.819,94.397,294.12,1074.47,2141.8
25.819,94.487,299.81,1098.23,2157.0
25.819,94.577,294.03,1074.1,2186.9
25.819,94.667,294.28,1075.14,2019.7
