Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
NG/LON/83J14/2017/8,Nagaland,Longleng, ,Near IRB Camp,26.535556,94.788056,,,,Reactivated
NAG/WOK/83J/4/2016/0040,Nagaland,Wokha, ,Doyang to Sanis Road,26.214389,94.236694,,,,Active
NG/PHE/83K2/2015/79,Nagaland,Phek, ,On Chakhabama-Chozuba-Zunheboto SH,25.665,94.216,,,,Suspended
NAG/TUN/83J16/2016/0030,Nagaland,Tuensang, ,Tuensang town river side,26.235736,94.805011,,,,Reactivated
NG/LON/83J15/2017/30,Nagaland,Longleng, ,3.5km S of Pongo Village.,26.46,94.852222,,,,Reactivated
NAG/KIP/83K13/2016/077,Nagaland,Kiphire, ,Towards Fakimile from Penkim village,25.814897,94.970297,,,,Active
NG/TUE/83N3/2017/7,Nagaland,Tuensang, ,NoklakPangsha Road,26.259083,95.085972,,,,Reactivated
NG/KOH/83K2/2015/55,Nagaland,Kohima, , ,25.693,94.043,,,,Active
NL/KOH/83K02/2014/15,Nagaland,Kohima, ,Jotsoma village,25.65653,94.09061,,,,Suspended
NG/MON/83N01/2017/12,Nagaland,Mon, ,Shangnyu village,26.759389,95.108944,,,,Active
NAG/WOK/83J/4/2016/0102,Nagaland,Wokha, ,Between New Ralan to Longchum,26.011389,94.022722,,,,Active
NG/PHE/83K6/2015/276,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.662,94.453,,,,Suspended
NG/PHE/83K10/2017/14,Nagaland,Phek, ,Kuzato to Wazeho,25.747892,94.633072,,,,Active
NG/KOH/83G14/2015/1,Nagaland,Kohima, ,Kohima-Khonoma-Pedi-Peren SH,25.615,93.944,,,,Suspended
NG/TUE/83N4/2017/8,Nagaland,Tuensang, ,NoklakPangsha Road,26.223,95.033417,,,,Active
NG/KOH/83K2/2015/231,Nagaland,Kohima, ,NH-29,25.733,94.022,,,,Active
NG/LON/83J15/2017/37,Nagaland,Longleng, ,1 km East of Hukpong Village,26.468611,94.806389,,,,Reactivated
NAG/MOK/83J/7/2016/0011,Nagaland,Mokokchung, ,Bewteen Chungtia-Longjongkong,26.395389,94.454528,,,,Reactivated
NAG/TUN/83J16/2016/0051,Nagaland,Tuensang, ,3 km south of Tuensang Town,26.210306,94.810333,,,,Reactivated
NAG/TUE/83J15/2009/F-13,Nagaland,Tuensang,Ajang (Bhumbak Village), ,26.36083,94.84,,,, 
NG/MOK/83J10/2017/23,Nagaland,Mokukchung, ,Yajang A village,26.688831,94.546019,,,,Suspended
NAG/KOH/83K1/2016/108,Nagaland,Kohima, ,Botsa,25.867778,94.168056,,,,Active
NAG/WOKH/83J08/2015/0059,Nagaland,Wokha, ,Near Zuvatong Colony,26.085389,94.258,,,,Reactivated
NG/NOK/83N3/2017/21,Nagaland,Noklak, ,Pangsha,26.260333,95.104806,,,,Active
NG/MON/83J15/2017/9,Nagaland,Mon, ,8 km south of Tobu Village,26.3275,94.917222,,,,Reactivated
NL/KOH/83K02/2014/03,Nagaland,Kohima,Phesama,NH 29,25.621,94.11806,,,,Active
NG/TUE/83J15/2017/1,Nagaland,Tuensang, ,"Hakchang Village, near Sangden Khel",26.311944,94.877778,,,,Suspended
NG/MON/83N2/2017/55,Nagaland,Mon, ,Near Chen Moho,26.576806,95.096889,,,,Active
NG/PHE/83K6/2015/266,Nagaland,Phek, ,Chakhabama-Chozuba-Zunheboto SH,25.667,94.254,,,,Suspended
NAG/ZUN/83J12/2016/0071,Nagaland,Zunheboto, ,1km SE of Kholeboto,26.156333,94.593611,,,,Reactivated
NA/PER/83G10/2020/7,Nagaland,Peren, ,Peren-Tening Road,25.52,93.72,,,,Suspended
NAG/WOK/83K1/2016/154,Nagaland,Wokha, ,Longchum village,25.985317,94.021903,,,,Active
NG/KOH/83K2/2015/189,Nagaland,Kohima, ,"Assam Rifles Cantonment, Kohima Town",25.663,94.113,,,,Active
NAG/ZUN/83J12/2016/0057,Nagaland,Zunheboto, ,4 km N of Aghunato,26.037847,94.635525,,,,Reactivated
NG/PHE/83K6/2015/294,Nagaland,Phek, ,Phek-Lanye road.,25.647,94.481,,,,Active
NAG/ZUN/83K5/2016/012,Nagaland,Zunheboto, ,Shoipu,25.965083,94.426806,,,,Reactivated
NG/PHE/83K10/2017/6,Nagaland,Phek, ,Waziho to Zipu,25.652361,94.735889,,,,Active
NG/MON/83N2/2017/14,Nagaland,Mon, ,"Chingai Ward, Mon Town",26.72875,95.031194,,,,Active
NAG/KOH/83K1/2016/069,Nagaland,Kohima, ,Phekerkrie,25.865472,94.049944,,,,Active
NG/KOH/83K2/2015/209,Nagaland,Kohima, , ,25.683,94.099,,,,Active
NAG/ZUN/83K09/2016/051,Nagaland,Kiphire, ,SW of Ngoromi,25.767683,94.709381,,,,Active
NG/PHE/83K6/2015/298,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.647,94.361,,,,Suspended
NG/PHE/83K6/2015/256,Nagaland,Phek, ,Chakhabama-Chozuba-Zunheboto SH,25.666,94.258,,,,Suspended
NL/KOH/83K02/2014/11,Nagaland,Kohima, ,NH-29,25.66897,94.04664,,,,Suspended
NG/PHE/83K10/2017/31,Nagaland,Phek, ,LephoriReguri road,25.515222,94.660694,,,,Active
NG/MON/83N2/2017/9,Nagaland,Mon, ,Near Mon Town,26.711222,95.074222,,,,Active
NG/PHE/83K14/2017/70,Nagaland,Phek, ,4km NW of Sutsii village,25.715956,94.810833,,,,Active
NAG/WOKH/83J08/2015/0046,Nagaland,Wokha, ,Old Rephium Village,26.182583,94.263361,,,,Reactivated
NG/NOK/83N04/2017/28,Nagaland,Noklak, ,Nokhu,26.174028,95.029722,,,,Active
NG/KOH/83K2/2015/92,Nagaland,Kohima, ,"Assam Rifles Cantonment, Kohima Town",25.67,94.113,,,,Suspended
NAG/KIP/83K13/2016/054,Nagaland,Kiphire, ,South of Tethyo village,25.786311,94.796825,,,,Active
NG/MON/83N01/2017/55,Nagaland,Mon, ,PhuktongTuimei rd,26.834972,95.080528,,,,Suspended
NG/MON/83N01/2017/25,Nagaland,Mon, ,PhuktongTuimei rd,26.787,95.070083,,,,Active
NG/MON/83N2/2017/4,Nagaland,Mon, ,"Techahan Ward, Mon Town",26.718556,95.033222,,,,Active
NAG/ZUN/83J12/2016/0054,Nagaland,Zunheboto, ,2 km N of Aghunato,26.028806,94.638389,,,,Reactivated
NG/PHE/83K14/2017/54,Nagaland,Phek, ,New Thewati to Washello,25.554167,94.760944,,,,Active
NAG/WOK/83J/4/2016/0101,Nagaland,Wokha, ,Between New Ralan to Longchum,26.0075,94.021444,,,,Active
NA/DIM/83G13/2020/7,Nagaland,Dimapur, ,NH-29,25.77,93.94,,,,Active
NG/KOH/83K2/2015/227,Nagaland,Kohima, ,NH-29,25.565,94.138,,,,Active
NG/MON/83N2/2017/23,Nagaland,Mon, ,Near Yuting,26.7015,95.079361,,,,Active
NAG/KIP/83K13/2016/008,Nagaland,Kiphire, ,Kiphire Town,25.911931,94.793292,,,,Reactivated
NAG/PHK/83K5/2016/038,Nagaland,Phek, ,Sekruzu,25.783278,94.388306,,,,Stabilized
NG/PHE/83K14/2017/71,Nagaland,Phek, ,3km SE of Phor village,25.729639,94.795675,,,,Active
NAG/KIP/83K13/2016/009,Nagaland,Kiphire, ,NW of Kiphire Town,25.934647,94.787967,,,,Active
NA/DIM/83G13/2020/47,Nagaland,Dimapur, ,NH29,25.78,93.82,,,,Suspended
NG/PER/83G14/2015/16,Nagaland,Peren, ,SE of Benreu,25.566,93.863,,,,Active
NAG/KOH/83K1/2016/044,Nagaland,Kohima, ,Tseisema,25.761278,94.072194,,,,Active
NAG/WOKH/83J08/2015/0013,Nagaland,Wokha, ,"Saron Colony, 4 km SE of Wokha Town.",26.082972,94.267528,,,,Active
NAG/TUN/83J16/2016/0039,Nagaland,Tuensang, ,15 km east of Kuthur Vill,26.197444,94.856955,,,,Reactivated
NAG/KIP/83K13/2016/035,Nagaland,Kiphire, ,At Zungki river towards Kiusam road,25.920811,94.838889,,,,Active
NAG/ZUN/83J12/2017/0081,Nagaland,Zunheboto, ,3 km W of Tichipami village,26.191306,94.569611,,,,Reactivated
NG/PHE/83K14/2017/40,Nagaland,Phek, ,Shillio to Avakhung,25.605458,94.839083,,,,Active
NG/MON/83N2/2017/35,Nagaland,Mon, ,Shainghachingnyu,26.638861,95.123333,,,,Active
NG/MOK/83J10/2017/9,Nagaland,Mokukchung, ,2km N of Merangkong,26.608167,94.645139,,,,Suspended
NAG/WOKH/83J08/2015/0039,Nagaland,Wokha, ,"NH 61, Near NST Bus accident point of 8th Aug'2006",26.017,94.254306,,,,Active
NG/KOH/83K2/2015/96,Nagaland,Kohima, ,Secretariat-BSF Camp road,25.694,94.107,,,,Suspended
NG/MOK/83J10/2017/15,Nagaland,Mokukchung, ,TuliAmguri rd,26.701222,94.635083,,,,Suspended
NAG/KIP/83K13/2016/057,Nagaland,Kiphire, ,200m away from Luthur village,25.827397,94.907311,,,,Active
NAG/WOK/83J/4/2016/0063,Nagaland,Wokha, ,Doyang to Yekhum,26.180944,94.249472,,,,Suspended
NA/DIM/83G13/2020/29,Nagaland,Dimapur, ,NH-29,25.77,93.91,,,,Dormant
NG/TUE/83J15/2017/14,Nagaland,Tuensang, ,3 km N of Tuensang Town,26.258889,94.8175,,,,Reactivated
NL/KOH/83K02/2014/48,Nagaland,Kohima,Viswema slide,Agri-link Road,25.55697,94.15322,,,,Suspended
NG/PHE/83K10/2017/37,Nagaland,Phek, ,LephoriReguri road,25.581333,94.627306,,,,Active
NAG/KOH/83K02/2008/F-3B,Nagaland,Kohima,Officer Hill/ Naga Hospital Colony slide, ,25.66667,94.10972,,,, 
NG/PHE/83K10/2017/2,Nagaland,Phek, ,Waziho,25.673472,94.716222,,,,Active
NG/TUE/83J15/2017/49,Nagaland,Tuensang, ,3 km S of Ukha,26.417222,94.960833,,,,Reactivated
NG/MOK/83J10/2017/25,Nagaland,Mokukchung, ,TuliMolungkimong rd.,26.66725,94.614028,,,,Active
NL/MON/83J15/2014/09,Nagaland,Mon,Shense slide,State Highway (Tobu to Mon road),26.39936,94.94553,,,,Active
NG/NOK/83N04/2017/44,Nagaland,Noklak, ,Nokhu,26.132333,95.01675,,,,Active
NG/KOH/83K2/2015/164,Nagaland,Kohima, ,T-Khel Model village-Indira Gandhi Stadium road,25.701,94.089,,,,Active
NG/PHE/83K6/2015/315,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.625,94.335,,,,Suspended
NG/MON/83N2/2017/33,Nagaland,Mon, ,Shainghawamsa,26.62125,95.12575,,,,Active
NG/MON/83N01/2017/69,Nagaland,Mon, ,Wangla village,26.804028,95.003722,,,,Active
NG/KOH/83K2/2015/50,Nagaland,Kohima, ,Mohonkhola colony,25.651,94.097,,,,Suspended
NA/WOK/83J03/2020/8,Nagaland,Wokha, ,1Km of Baghty,26.27,94.14,,,,Suspended
NA/MOK/83J06/2020/27,Nagaland,Mokokchung, ,Nokpu village,26.61,94.5,,,,Suspended
NG/MON/83N3/2017/11,Nagaland,Mon, ,PesaoMonyakshu Road,26.431639,95.048417,,,,Active
NAG/WOKH/83J08/2015/0057,Nagaland,Wokha, ,On the way to district hospital,26.090056,94.256167,,,,Reactivated
NAG/MOK/83J/7/2016/0019,Nagaland,Mokokchung, ,Outside Khari village,26.475333,94.454833,,,,Active
NG/PHE/83K6/2015/289,Nagaland,Phek, ,Chazouba-Phek road,25.695,94.349,,,,Suspended
NG/MON/83N2/2017/54,Nagaland,Mon, ,Near Chen Moho,26.572889,95.098944,,,,Active
NAG/WOK/83J/4/2016/0043,Nagaland,Wokha, ,Sanis to Bhagti Road,26.213111,94.208917,,,,Active
NG/PHE/83K6/2015/336,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.649,94.441,,,,Suspended
NG/KOH/83K2/2015/194,Nagaland,Kohima, ,Kohima-Khonoma-Pedi-Peren SH,25.661,94.054,,,,Active
NG/TSG/83J16/2018/001,Nagaland,Tuensang,Chessore landslide,Near Chesore/Y. Anner Village.,23.725472,91.646639,,,,Reactivated
NG/MON/83N01/2017/7,Nagaland,Mon, ,Phuktong village,26.784806,95.070833,,,,Active
NAG/KIP/83K13/2016/030,Nagaland,Kiphire, ,North of Tethezu village,25.9255,94.760419,,,,Active
NG/MON/83N2/2017/46,Nagaland,Mon, ,Near Chenloisho,26.55075,95.098083,,,,Active
NG/KOH/83K2/2015/151,Nagaland,Kohima, ,NH-29,25.725,94.031,,,,Active
NAG/PHK/83K5/2016/028,Nagaland,Phek, ,Khuzami,25.756417,94.476083,,,,Active
NAG/WOK/83J/4/2016/0099,Nagaland,Wokha, ,Between New Ralan to Longchum,26.012889,94.044222,,,,Active
NG/PHE/83K14/2017/69,Nagaland,Phek, ,SW of Amikhiro,25.742178,94.842917,,,,Active
NAG/KOH/83K1/2016/060,Nagaland,Kohima, ,Kijumetouma,25.756444,94.245333,,,,Active
NAG/KOH/83K5/2016/145,Nagaland,Kohima, ,Nearly 2 km S of Satakha village,25.906472,94.428039,,,,Active
NL/KOH/83K02/2014/37,Nagaland,Kohima, ,Viswema -Kedima road,25.57244,94.17178,,,,Suspended
NA/DIM/83G13/2020/44,Nagaland,Dimapur, ,NH29/Dimapur-Kohima Rd,25.8,93.8,,,,Active
NG/NOK/83N04/2017/40,Nagaland,Noklak, ,Choklangan,26.112806,95.051944,,,,Active
NAG/WOK/83J/4/2016/0035,Nagaland,Wokha, ,Doyang to Sanis Road,26.202972,94.213417,,,,Active
NAG/MOKH/83J08/2015/ 0114,Nagaland,Mokokchung, ,Longsang Village,26.394222,94.553472,,,,Reactivated
NG/PHE/83K6/2015/340,Nagaland,Phek, ,Chazouba-Phek road,25.6975,94.43,,,,Active
NG/TUE/83J15/2017/53,Nagaland,Tuensang, ,Near Graveyard of Tuensang Village,26.264444,94.815556,,,,Reactivated
NG/KOH/83K2/2015/179,Nagaland,Kohima, ,"AG colony, Kohima Town",25.659,94.112,,,,Dormant
NG/KOH/83K2/2015/122,Nagaland,Kohima, ,Viswema-Kidima approach road,25.566,94.168,,,,Suspended
NG/NOK/83N04/2017/53,Nagaland,Noklak, ,wui,26.041611,95.075806,,,,Active
NAG/WOK/83K1/2016/138,Nagaland,Wokha, ,Nearly 5 km SE of Tesophinyu,25.979897,94.152281,,,,Active
NAG/KOH/83K1/2016/126,Nagaland,Kohima, ,New Sendenyu,25.930611,94.112139,,,,Active
NAG/TUEN/83J11/2015/ 0121,Nagaland,Tuensang, ,Chare Town,26.303472,94.617528,,,,Reactivated
NL/WOK/83F16/2018/2,Nagaland,Wokha,Ralan-2,Ralan-Woroku road,26.0051,93.9795,,,,Reactivated
NAG/ZUNB/83J12/2016/0010,Nagaland,Zunheboto, ,Way to Baimho Village from Zunheboto Town.,26.031742,94.547354,,,,Reactivated
NG/LON/83J14/2017/11,Nagaland,Longleng, ,6 kmsNorth of IRB Camp,26.556111,94.783333,,,,Reactivated
NG/PHE/83K6/2015/283,Nagaland,Phek, ,Riinguzu village,25.696,94.32,,,,Active
NG/PHE/83K6/2015/259,Nagaland,Phek, ,Thipuzu-Rihuba approach road,25.629,94.274,,,,Suspended
NAG/PHK/83K5/2016/043,Nagaland,Kohima, ,Tseisema,25.758944,94.078028,,,,Stabilized
NG/PHE/83K10/2017/9,Nagaland,Phek, ,Waziho to Mokie,25.631122,94.748497,,,,Active
NG/PHE/83K14/2017/20,Nagaland,Phek, ,Shillio to New Thewati,25.560844,94.773214,,,,Active
NG/MON/83N2/2017/70,Nagaland,Mon, ,Near Mon Town,26.71125,95.016722,,,,Reactivated
NAG/KOH/83K1/2016/046,Nagaland,Kohima, ,Tseisema,25.769417,94.037639,,,,Active
NG/PHE/83K10/2017/19,Nagaland,Phek, ,Lephori road,25.599722,94.612972,,,,Active
NA/MOK/83J06/2020/25,Nagaland,Mokokchung, ,Mariani-Mankholemba Rd,26.6,94.49,,,,Reactivated
NAG/WOK/83J/4/2016/0032,Nagaland,Wokha, ,Doyang to Sanis Road,26.212861,94.235889,,,,Active
NG/PHE/83K2/2015/56,Nagaland,Phek, ,On Chakhabama-Chozuba-Zunheboto SH,25.669,94.218,,,,Suspended
NAG/MOK/83J12/2017/0077,Nagaland,Mokokchung, ,1 km N of Longsa Village,26.220506,94.550504,,,,Reactivated
NG/KOH/83K2/2015/119,Nagaland,Kohima, ,Viswema-Kidima approach road,25.562,94.168,,,,Suspended
NG/TUE/83J15/2017/2,Nagaland,Tuensang, ,Near Cultivated land of Hakchang Village,26.326111,94.866111,,,,Active
NAG/KOH/83K1/2016/073,Nagaland,Kohima, ,Phekerkrie,25.833028,94.050056,,,,Active
NAG/MOKH/83J08/2015/ 0103,Nagaland,Mokokchung, ,New Yoongimiti Village orange yeard,26.424472,94.67,,,,Reactivated
NAG/ZUN/83K5/2016/014,Nagaland,Zunheboto, ,Kukiye,25.91775,94.415028,,,,Reactivated
