Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
SKM/NS/78A10/2017/212,Sikkim,North Sikkim, ,NH,27.728472,88.551667,,,,Active
SKM/NS/78A10/2017/199,Sikkim,North Sikkim, ,NH,27.613444,88.656528,,,,Active
SKM/SS/78A07/2015/340,Sikkim,South Sikkim, ,Lingmo village Road,27.314694,88.417917,,,,Active
SKM/ES/78A11/2015/415,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.370083,88.67925,,,,Suspended
SKM/SS/78A08/2015/243,Sikkim,South Sikkim, ,Pachekhani-Melli Road,27.101111,88.403333,,,,Suspended
SKM/SS/78A07/2015/193,Sikkim,South Sikkim, ,Ben village Road,27.255167,88.396944,,,,Active
SKM/NS/78A03/2017/06,Sikkim,West Sikkim, ,SH,27.289861,88.084389,,,,Active
SKM/ES/78A11/2015/416,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.340917,88.628389,,,,Active
SKM/ES/78A11/2015/125,Sikkim, East Sikkim, ,Machong-Rongli Road,27.257139,88.697556,,,,Dormant
SKM/ES/78A11/2015/126,Sikkim, East Sikkim, ,Machong-Rongli Road,27.258222,88.704778,,,,Active
SKM/ES/78A11/2015/128,Sikkim, East Sikkim, ,Machong-Rongli Road,27.25475,88.711,,,,Active
SKM/ES/78A12/2015/102,Sikkim, East Sikkim, ,Rangpo-Rorathang Road,27.18815,88.562083,,,,Active
SKM/NS/78A11/2015/77,Sikkim,North Sikkim, ,North Sikkim Highway,27.409667,88.543722,,,,Suspended
SKM/NS/78A03/2017/26,Sikkim,West Sikkim,Lungzick,SH,27.280667,88.190861,,,,Active
 ,Sikkim,East Sikkim,,,27.24722222,88.60666667,Debris,Slide,Reactivated in September 2021.,Suspended
SKM/SS/78A08/2015/277,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.160056,88.423028,,,,Active
SKM/ES/78A11/2015/64,Sikkim, East Sikkim, ,North Sikkim Highway,27.384444,88.639611,,,,Active
SKM/SS/78A08/2015/263,Sikkim,South Sikkim, ,-,27.177167,88.369611,,,,Active
SKM/SS/78A08/2015/280,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.169583,88.462361,,,,Active
SKM/NS/78A10/2017/211,Sikkim,North Sikkim,Lachen,NH,27.735278,88.54925,,,,Active
