Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/KOL/83D15/2020/13,Mizoram,Kolasib,Serlui B Tourist lodge slide,Road to Serlui B Tourist lodge,24.34,92.77,,,,Active
MZ/SER/84A15/2016/119,Mizoram,Serchhip, ,"Northwest of Thenzawl, SH-Thenzawl-Buarpui Road",23.30028,92.741186,,,,Active
MZ/SER/84A15/2016/24,Mizoram,Serchhip, ,"About 2.2 km from Serchhip, NH-54 Aizawl-Serchhip-Lunglei Road",23.279612,92.869602,,,,Active
MZ/SER/84A16/2018/40,Mizoram,Serchhip, ,"East of Keitum Village (Keitum-Khawlailawng Section, near the bridge)",23.223957,92.936401,,,,Suspended
MZ/LAW/84B10/2020/17,Mizoram,Lawngtlai,Kamlanagar III slide,Kamlanagar III,22.62,92.64,,,,Active
MZ/LUN/84A12/2018/75,Mizoram,Lunglei, ,Dehlui River-Lungchem Village Section (~1 km NE of Lungchem),23.135416,92.616661,,,,Suspended
MZ/CHA/84E03/2017/38,Mizoram,Champhai, ,Near water fall,23.473778,93.239194,,,,Active
MZ/AIZ/84A10/2014/05,Mizoram,Aizawl,Zemabawk,Zemabawk,23.73436,92.75194,,,,Suspended
MZ/AIZ/84E01/2017/65,Mizoram,Aizawl, ,Ainawl village,23.87075,93.078529,,,,Reactivated
MZ/LAW/84B11/2020/5,Mizoram,Lawngtlai,Diltlang S slide,Diltlang S,22.48,92.73,,,,Active
MZ/SER/84A15/2016/21,Mizoram,Serchhip, ,"At 300km Mile Stone, NH-54 Aizawl-Serchhip-Lunglei Road",23.260038,92.882734,,,,Reactivated
MZ/CHA/84E03/2017/73,Mizoram,Champhai,Champhai slide,"Jail Veng Rd, Champhai",23.388585,93.2446,,,,Suspended
MZ/SER/84A15/2016/118,Mizoram,Serchhip, ,"East of Tlawng River Bridge, SH-Thenzawl-Buarpui Road",23.308202,92.731268,,,,Active
MIZ/AIZ/84A13/2016/8,Mizoram,Aizawl, ,Pehlawn,23.902111,92.922556,,,,Active
MZ/LUN/84A12/2018/79,Mizoram,Lunglei, ,Tuisen Bolia-Thenhlum Section,23.135889,92.551819,,,,Suspended
MZ/MAM/84A10/2015/158,Mizoram,Mamit, ,"East of Khawrihnin; Agri-link Road Tlawng river,  Agri-link Road",23.618083,92.645028,,,,Active
MZ/LUN/84A12/2018/59,Mizoram,Lunglei, ,Tleu-Thenhlum Section,23.209055,92.540611,,,,Inactive
MZ/LUN/84A12/2018/58,Mizoram,Lunglei, ,East of Tleu Village,23.20875,92.538361,,,,Suspended
MIZ/AIZ/84A09/2016/131,Mizoram,Aizawl, ,Hunther area,23.787414,92.725278,,,,Suspended
MZ/CHA/84E01/2017/39,Mizoram,Champhai, ,KawlbemNgopa section,23.881056,93.245804,,,,Suspended
MZ/LUN/84A12/2018/71,Mizoram,Lunglei, ,Dehlui River Bridge along Sertlangpui-Lungchem Section,23.133568,92.64373,,,,Suspended
MZ/LAW/84B14/2018/32,Mizoram,Lawngtlai, ,Multi- Modal Road,22.507,92.886002,,,,Suspended
"MZ/LUN/84B14/2018/53
",Mizoram,Lunglei, ,Southwest of Thlengang,22.656334,92.874725,,,,Active
MZ/SAI/84F03/2020/33,Mizoram,Saiha,West of Tlangpuikawn slide,West of Tlangpuikawn,22.49,93.01,,,,Stabilized
MZ/MAM/84A10/2015/132,Mizoram,Mamit, ,"North of Chungtlang, SH-Reiek- Mamit-Aizawl",23.695083,92.570639,,,,Reactivated
MZ/CHA/84E07/2017/101,Mizoram,Champhai, ,East of Melbuk,23.394732,93.381271,,,,Active
MZ/CHA/84E08/2017/38,Mizoram,Champhai, ,Saikhumphai Rd,23.135405,93.368299,,,,Active
