lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
94.555444,25.492333,974.004,37.899,307.297,458.209,10,0.127,26.09,0.001,1057.66,3.503,1
94.304444,25.181583,1389.901,21.994,70.654,29.516,10,0.125,11.178,0.001,838.593,1.17,1
93.616397,24.862903,325.171,24.383,165.892,29.516,10,0.124,10.788,0.001,1047.053,1.403,1
94.259444,24.69325,1467.189,34.254,322.55,590.317,10,0.126,18.985,0.001,928.455,2.215,1
94.531722,25.103528,1545.373,12.467,206.565,0.0,10,0.125,8.899,0.001,957.598,1.069,1
93.492806,24.722472,176.826,31.772,208.033,65.999,10,0.129,28.361,0.001,1179.818,4.313,1
94.23361,24.3225,413.046,21.195,293.845,166.967,50,0.127,9.079,0.01,1309.243,15.123,1
94.297361,25.176639,1499.054,31.74,75.653,41.742,10,0.125,19.508,0.001,837.647,2.044,1
93.19,24.24,1039.536,33.792,194.077,566.981,10,0.125,12.045,0.001,1181.348,1.778,1
93.75,24.32,849.089,25.581,122.838,59.032,10,0.124,8.667,0.001,684.966,0.739,1
94.07,24.12,1332.933,28.286,236.935,319.263,10,0.13,12.906,0.001,1102.57,1.842,1
94.242028,24.913611,1403.765,24.057,115.313,384.84,10,0.127,8.043,0.001,771.445,0.789,1
93.56,24.02,788.643,24.97,47.4,147.579,10,0.129,14.654,0.001,798.589,1.509,1
94.316778,24.909542,977.495,36.056,157.853,88.548,10,0.128,17.107,0.001,780.841,1.711,1
94.543694,25.465167,1065.264,30.311,320.864,538.614,10,0.129,14.008,0.05,1057.66,95.674,1
93.394306,24.798278,334.814,19.166,288.771,41.742,30,0.127,10.569,0.05,1436.57,96.708,1
93.72275,25.15775,737.957,33.61,206.629,158.948,10,0.121,30.265,0.001,922.611,3.379,1
94.043697,25.430853,1461.77,33.905,276.052,560.024,50,0.128,30.57,0.01,881.96,33.975,1
93.08,24.23,754.7,42.169,353.725,395.997,10,0.132,26.783,0.001,1151.816,4.059,1
94.322472,24.824278,1380.773,17.417,122.416,563.899,50,0.128,5.383,0.01,952.61,6.58,1
93.721889,24.631861,1330.68,18.774,79.195,236.127,10,0.123,5.915,0.001,709.39,0.519,1
94.134506,25.200853,1308.703,38.113,245.136,208.709,10,0.123,31.683,0.001,861.58,3.361,1
94.138111,24.682167,863.618,34.285,320.172,150.502,50,0.126,19.004,0.001,774.663,1.858,1
94.602278,24.777333,693.609,19.942,323.087,597.65,10,0.126,8.417,0.001,1239.69,1.315,1
94.555417,25.27325,1585.325,28.294,285.249,723.59,10,0.133,24.738,0.05,1227.161,202.957,1
94.306125,24.889031,1228.623,28.777,13.987,523.022,10,0.132,13.174,0.001,793.154,1.369,1
94.551083,25.052833,1830.345,32.543,273.252,871.592,10,0.126,20.081,0.001,1031.853,2.607,1
93.91,24.09,1166.368,14.959,259.577,443.72,10,0.13,4.44,0.001,823.88,0.475,1
93.954583,24.346028,1233.163,11.714,64.476,563.899,10,0.127,3.25,0.01,658.871,2.712,1
94.509111,25.312667,1452.274,25.736,139.215,665.908,30,0.131,11.521,0.05,857.47,64.651,1
94.259028,24.431056,1208.077,33.113,144.332,684.615,10,0.125,18.261,0.001,1062.108,2.433,1
94.523556,25.182417,1367.131,36.459,182.29,59.032,30,0.13,20.372,0.05,939.265,124.931,1
93.633144,24.922861,1103.572,34.13,127.997,522.189,10,0.123,30.802,0.001,976.216,3.73,1
93.655719,24.804586,590.248,33.721,219.076,429.757,30,0.125,20.921,0.05,1032.152,134.777,1
93.48,24.13,713.434,1.522,320.168,0.0,10,0.13,0.584,0.001,753.666,0.057,1
94.28722,24.25806,317.79,28.794,203.695,65.999,10,0.129,13.183,0.001,1143.931,1.933,1
94.323778,24.846167,1327.714,31.308,88.834,859.514,10,0.128,14.55,0.001,911.52,1.708,1
93.502278,24.978389,1296.226,14.339,303.49,644.636,60,0.119,10.638,0.45,1151.658,655.09,1
93.88,24.83,781.937,0.132,165.687,29.516,40,0.128,0.024,0.15,709.9,0.344,1
94.308778,24.618583,1220.996,33.626,195.303,509.522,10,0.128,30.282,0.001,1096.416,4.25,1
94.544583,25.065056,1692.254,41.415,180.178,272.123,30,0.13,19.913,0.001,1002.46,2.575,1
94.551028,25.096611,1651.036,28.108,138.536,106.421,10,0.129,16.902,0.001,987.346,2.158,1
93.55,24.15,643.615,23.503,243.322,118.063,10,0.131,7.816,0.001,760.955,0.78,1
93.646406,24.653156,595.984,28.063,321.904,65.999,10,0.122,19.84,0.001,880.406,2.132,1
94.390222,25.098667,1735.519,18.798,39.498,206.611,10,0.127,14.978,0.001,855.303,1.633,1
94.135,25.508,1725.172,17.789,121.669,814.231,50,0.127,13.977,0.001,890.26,1.568,1
93.941722,25.146528,1283.843,15.634,179.4,29.516,30,0.127,10.789,0.001,913.092,1.247,1
93.736111,24.809917,1218.457,22.69,210.857,525.515,30,0.124,18.926,0.01,864.634,20.345,1
93.19,24.73,274.973,17.346,305.5,355.418,10,0.126,10.194,0.001,1537.182,1.982,1
94.523694,25.181528,1332.009,30.643,28.291,29.516,10,0.13,27.01,0.001,939.84,3.314,1
94.020444,24.997972,815.328,31.318,102.917,88.548,30,0.126,14.555,0.05,678.631,61.986,1
93.09,24.52,184.697,33.73,334.279,197.998,10,0.129,15.86,0.001,1427.004,2.919,1
94.549639,24.814778,1048.384,32.84,353.543,542.642,10,0.128,22.188,0.001,1210.925,3.442,1
93.654444,24.935611,471.154,31.465,111.691,106.421,10,0.125,25.481,0.001,970.951,3.084,1
94.578333,24.9155,1132.127,23.071,225.222,690.948,10,0.128,10.082,0.001,1010.346,1.307,1
