lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
94.35,26.6,181.344,7.559,40.111,128.001,10,0.124,4.673,0.001,1182.015,0.687,1
93.11244,26.57455,120.477,30.646,2.322,373.183,10,0.13,18.495,0.001,1572.282,3.779,1
93.405944,25.435639,400.201,18.782,34.467,154.133,10,0.12,7.714,0.001,849.014,0.789,1
93.403639,25.437111,368.621,7.9,349.624,28.622,10,0.123,4.441,0.001,845.552,0.46,1
92.90381,24.72192,35.657,15.286,159.376,103.197,10,0.126,5.949,0.001,1436.885,1.076,1
92.45,24.99,14.277,0.364,186.151,435.955,40,0.122,0.091,0.15,2167.219,3.609,1
93.369417,25.423861,392.657,20.556,177.404,121.432,10,0.124,8.634,0.001,812.915,0.867,1
93.3,25.19,749.109,39.009,336.346,28.622,10,0.121,13.974,0.001,1068.798,1.806,1
92.64714,25.90692,316.63,16.041,303.795,28.622,10,0.123,8.343,0.001,1426.043,1.463,1
92.801722,25.056611,109.708,25.304,326.323,183.269,10,0.126,21.626,0.001,1830.094,4.999,1
93.040194,25.164,441.041,7.129,137.269,242.864,10,0.126,1.693,0.001,1239.718,0.264,1
92.56,24.44,28.802,0.36,252.908,171.731,40,0.125,0.076,0.15,1078.266,1.54,1
93.28,25.24,951.959,11.292,200.835,28.622,10,0.123,7.839,0.05,981.884,47.184,1
93.29,25.23,955.645,23.411,268.488,118.011,10,0.122,10.139,0.001,1005.401,1.242,1
91.79028,26.19167,90.952,14.952,218.514,259.182,50,0.0,4.384,0.01,1568.995,0.0,1
93.7417,26.3478,216.456,31.185,154.423,85.865,10,0.127,10.842,0.001,1326.698,1.832,1
92.66,24.96,35.052,12.046,130.442,590.054,10,0.124,4.39,0.001,2143.434,1.164,1
93.122,25.201,603.915,16.67,244.391,244.545,30,0.125,5.031,0.05,1075.696,33.908,1
92.795536,25.063378,253.536,21.256,132.822,309.592,10,0.126,17.458,0.001,1819.087,3.983,1
92.98,24.96,60.418,35.453,345.946,64.0,10,0.126,16.58,0.001,1508.525,3.164,1
93.132,25.404,267.233,15.775,294.183,171.731,10,0.128,7.281,0.001,831.698,0.775,1
92.305361,25.946611,567.553,19.748,311.927,401.726,10,0.125,13.556,0.001,1563.407,2.649,1
91.837833,26.115139,150.711,20.537,324.552,457.949,10,0.127,8.624,0.001,1600.271,1.975,1
93.34,25.22,1289.996,19.011,9.474,518.363,10,0.124,15.192,0.001,989.588,1.863,1
93.026222,25.1775,473.942,13.367,163.301,326.339,10,0.126,8.277,0.001,1224.663,1.278,1
92.70757,26.93362,142.234,9.771,242.003,465.93,10,0.126,2.543,0.001,1769.424,0.568,1
93.16261,24.99561,201.582,21.059,83.664,515.987,10,0.127,6.742,0.001,1431.189,1.225,1
93.275722,26.307972,423.298,5.216,160.911,0.0,30,0.124,2.891,0.001,1219.422,0.436,1
93.121,25.208,667.247,17.147,180.955,668.183,30,0.128,10.675,0.05,1058.994,72.158,1
92.49736,24.65939,29.924,4.173,259.167,208.37,10,0.123,0.846,0.001,1370.546,0.143,1
93.56682,25.84512,251.959,10.43,294.015,680.333,10,0.123,7.079,0.001,781.873,0.681,1
92.032667,26.080139,189.272,16.474,20.008,28.622,10,0.124,6.54,0.001,1707.29,1.386,1
93.547361,26.59416,152.846,14.696,124.431,271.53,10,0.129,10.976,0.001,1702.898,2.401,1
92.88075,25.109417,273.789,13.409,357.861,546.819,10,0.125,9.767,0.05,1545.137,94.118,1
92.441222,26.113639,197.313,19.319,265.89,181.02,10,0.13,7.99,0.001,1613.87,1.673,1
92.48225,26.016389,247.428,33.115,249.604,80.955,10,0.128,11.624,0.001,1634.064,2.43,1
93.284222,25.416056,264.744,18.334,250.553,161.91,10,0.129,10.796,0.05,793.932,55.312,1
92.84,24.62,30.496,13.57,111.621,555.735,10,0.126,6.746,0.001,1429.285,1.216,1
93.067,25.155,503.974,20.576,277.978,154.133,10,0.124,11.406,0.001,1226.696,1.738,1
93.020417,25.175056,579.205,33.191,92.794,568.127,10,0.129,18.087,0.001,1238.467,3.006,1
92.69042,25.84967,462.658,16.11,11.7,546.819,10,0.127,9.172,0.001,1350.75,1.571,1
92.7678,26.92216,135.258,7.449,124.202,0.0,10,0.127,4.586,0.001,1753.689,1.026,1
93.45331,25.84444,192.67,11.405,33.928,469.433,10,0.124,4.814,0.001,847.488,0.508,1
93.390611,25.263528,839.654,35.986,244.114,145.943,10,0.123,19.83,0.001,887.418,2.172,1
92.59267,25.965731,111.083,16.79,298.769,202.387,10,0.127,7.879,0.001,1515.484,1.512,1
92.78931,25.04783,101.634,27.066,145.012,80.955,10,0.126,17.446,0.001,1898.756,4.172,1
93.04,25.137,635.414,13.644,210.217,445.251,10,0.125,3.901,0.001,1304.475,0.635,1
93.225389,26.302944,242.513,14.84,249.804,28.622,10,0.126,11.113,0.001,1308.836,1.827,1
92.778753,25.034948,80.341,34.072,289.242,64.0,10,0.125,15.848,0.001,1973.303,3.898,1
93.03325,25.232972,551.684,20.7,259.862,358.63,10,0.124,12.565,0.001,1074.757,1.679,1
91.684167,26.211111,56.165,9.952,256.514,28.622,50,0.127,5.331,0.01,1557.223,10.544,1
92.50083,25.98736,107.914,25.831,86.326,114.487,10,0.13,11.431,0.001,1613.053,2.387,1
92.84,24.53,29.19,0.191,123.34,28.622,40,0.128,0.024,0.15,1409.725,0.646,1
93.34,25.23,1299.404,18.855,181.975,563.785,10,0.123,12.029,0.001,973.036,1.445,1
93.003,25.108,538.352,10.624,72.936,0.0,10,0.127,7.248,0.001,1420.948,1.3,1
92.77163,26.9174,109.137,8.064,184.813,28.622,10,0.127,3.081,0.001,1756.688,0.686,1
91.963222,26.205583,74.837,27.348,115.435,206.395,10,0.126,16.157,0.001,1612.811,3.27,1
93.410417,25.394111,494.604,18.275,95.379,28.622,30,0.124,8.765,0.05,879.398,47.803,1
92.818091,25.320232,1010.388,7.828,152.391,344.652,10,0.126,4.89,0.001,1003.343,0.619,1
92.76755,26.9231,145.831,12.369,134.798,64.0,10,0.128,8.809,0.001,1753.083,1.976,1
93.424694,25.444194,419.757,31.59,349.85,316.138,10,0.124,19.163,0.001,866.206,2.055,1
92.800333,25.054917,113.647,39.442,265.738,206.395,10,0.126,21.948,0.001,1841.203,5.097,1
92.998778,25.110111,551.711,27.349,329.649,308.267,10,0.126,17.666,0.001,1421.432,3.154,1
93.116139,25.176389,561.462,16.376,24.109,40.477,10,0.127,4.919,0.001,1134.45,0.712,1
93.47616,26.59041,125.283,11.921,155.695,515.987,10,0.13,5.094,0.001,1602.054,1.062,1
91.4,25.91,56.5,0.0,270.0,0.0,80,0.0,0.0,0.0,1800.71,0.0,1
93.371194,25.453528,437.333,29.735,2.925,549.807,10,0.123,15.909,0.001,797.327,1.569,1
93.25,25.2,1189.272,24.708,354.95,166.892,10,0.124,8.207,0.001,1077.719,1.103,1
92.75482,25.010379,98.859,10.618,301.054,192.001,10,0.123,2.83,0.001,1998.974,0.697,1
92.990267,25.395431,393.972,26.098,46.343,635.508,10,0.122,22.45,0.001,908.977,2.491,1
92.72558,25.85992,138.752,20.168,211.721,103.197,10,0.129,16.355,0.001,1293.452,2.737,1
92.920333,25.108778,264.978,17.24,282.175,381.863,10,0.126,6.926,0.001,1524.384,1.327,1
92.794514,25.072636,449.292,38.752,100.259,715.546,30,0.126,24.155,0.001,1783.367,5.419,1
92.70308,26.93641,134.664,13.307,120.855,28.622,10,0.125,4.986,0.001,1768.762,1.102,1
93.04,25.135,619.578,14.387,265.668,281.892,10,0.124,10.684,0.001,1309.429,1.732,1
92.091028,26.112083,64.797,13.013,273.271,57.244,10,0.125,4.846,0.001,1702.456,1.033,1
92.266083,26.013528,373.166,23.459,315.941,409.802,10,0.125,10.164,0.001,1716.515,2.189,1
92.038694,26.153556,76.694,16.796,299.916,462.4,10,0.127,5.079,0.001,1663.428,1.073,1
92.929125,25.108877,253.257,19.287,351.13,425.494,50,0.125,11.504,0.01,1513.339,21.726,1
91.938306,26.129583,91.822,21.001,264.694,543.061,10,0.127,10.427,0.001,1640.49,2.177,1
92.472778,26.031528,249.843,26.895,212.817,286.218,10,0.127,12.001,0.001,1644.894,2.513,1
93.253194,25.278917,878.218,31.033,139.605,486.571,30,0.124,14.224,0.001,888.449,1.576,1
94.35,26.57,184.321,16.066,59.857,161.91,10,0.123,4.802,0.001,1147.785,0.679,1
92.002611,26.171972,76.648,1.626,335.607,244.545,10,0.128,0.249,0.001,1643.857,0.052,1
93.120556,25.18725,650.001,10.317,275.557,658.924,10,0.125,2.727,0.001,1108.477,0.378,1
91.74056,26.13611,87.807,28.962,23.098,344.652,10,0.128,17.301,0.001,1591.398,3.713,1
93.421444,25.443417,411.168,24.966,347.947,114.487,10,0.124,8.312,0.001,862.958,0.888,1
91.78917,26.10711,74.797,17.959,91.42,291.887,10,0.159,8.576,0.001,1601.445,2.698,1
94.36,26.56,194.544,14.021,178.692,320.002,10,0.125,6.268,0.001,1135.072,0.887,1
91.79264,26.15428,73.139,11.684,263.292,404.774,50,0.0,5.571,0.01,1583.392,0.0,1
92.904278,25.124306,262.387,13.591,133.672,118.011,10,0.123,9.936,0.001,1485.91,1.819,1
92.57369,25.85544,453.097,23.487,317.848,298.821,10,0.122,10.179,0.001,1528.654,1.894,1
93.409528,25.264056,842.766,37.142,173.871,217.977,10,0.125,17.468,0.001,876.615,1.906,1
93.033,24.97692,171.172,19.195,338.745,433.127,10,0.125,15.376,0.001,1466.543,2.818,1
92.75,24.98,28.811,5.032,25.979,200.353,10,0.124,1.423,0.001,1966.599,0.347,1
92.79725,25.049444,104.286,32.629,350.83,145.943,10,0.126,29.25,0.001,1871.549,6.9,1
93.034,25.137,644.036,23.03,263.876,416.74,10,0.124,13.112,0.001,1312.088,2.123,1
93.362583,25.438694,367.23,19.761,91.188,57.244,10,0.124,8.22,0.001,796.097,0.806,1
93.371306,25.420278,407.596,19.633,247.64,103.197,10,0.124,8.153,0.001,817.418,0.826,1
93.002,25.107,589.066,34.82,60.039,57.244,10,0.127,19.106,0.001,1424.512,3.455,1
92.987917,25.110778,477.797,16.844,271.477,326.339,10,0.125,6.726,0.001,1433.968,1.203,1
91.71444,26.1625,69.226,13.345,315.697,246.214,10,0.0,9.707,0.001,1580.156,1.36,1
93.025833,25.150694,666.168,19.013,54.444,717.832,50,0.127,7.833,0.01,1289.783,12.84,1
92.75933,26.92088,145.22,15.472,77.602,57.244,10,0.127,4.578,0.001,1758.715,1.022,1
91.714806,26.166583,124.631,23.328,180.437,246.214,10,0.127,14.564,0.001,1576.87,2.919,1
92.55003,25.81175,502.222,29.244,147.137,103.197,10,0.124,13.263,0.001,1497.739,2.458,1
92.354778,25.977194,564.312,20.752,266.566,28.622,10,0.123,11.528,0.001,1644.892,2.324,1
92.96,24.98,167.99,30.802,295.315,445.251,10,0.125,14.1,0.001,1564.188,2.75,1
92.441028,26.117111,184.823,23.338,335.39,202.387,10,0.129,10.1,0.001,1610.867,2.097,1
93.016722,25.199722,423.09,27.058,354.03,314.84,10,0.124,19.953,0.001,1184.357,2.955,1
93.10008,26.57719,79.742,4.009,233.753,660.786,10,0.126,0.803,0.001,1576.807,0.159,1
92.55422,25.81428,482.976,18.337,40.801,230.757,10,0.122,7.485,0.001,1508.674,1.375,1
92.795906,25.061375,259.513,24.942,73.018,507.18,10,0.126,8.302,0.001,1826.776,1.91,1
93.48408,26.60275,106.35,4.012,211.493,348.2,10,0.131,2.057,0.001,1597.416,0.43,1
93.222861,25.224278,608.77,17.049,270.772,28.622,10,0.125,13.248,0.001,1019.54,1.686,1
92.789667,25.046444,96.696,31.171,319.803,64.0,10,0.125,26.096,0.001,1904.337,6.221,1
93.404444,25.4375,373.521,7.642,142.812,28.622,10,0.123,3.224,0.001,846.257,0.334,1
92.75,24.99,151.205,28.136,253.895,309.592,30,0.123,9.6,0.05,1981.727,116.667,1
93.58616,25.81044,197.033,2.415,2.604,270.018,10,0.126,0.416,0.001,746.413,0.039,1
92.809603,25.257696,1176.089,3.464,134.569,866.254,10,0.123,0.664,0.001,1170.424,0.096,1
93.045,25.134,664.123,10.42,333.466,145.943,10,0.124,2.762,0.001,1305.381,0.449,1
94.37,26.54,186.367,9.627,332.479,181.02,10,0.127,2.495,0.001,1134.021,0.358,1
93.252972,25.278472,853.83,27.388,138.248,429.327,10,0.126,16.185,0.001,889.686,1.802,1
92.273056,26.036583,199.051,8.552,184.392,161.91,10,0.128,3.323,0.001,1769.354,0.755,1
93.12,25.387,309.532,26.013,47.783,617.86,50,0.126,11.528,0.01,840.089,12.175,1
91.62275,26.105806,69.714,30.328,319.258,271.53,10,0.124,13.846,0.001,1652.876,2.85,1
93.28166,26.5235,90.571,28.593,152.717,166.892,10,0.128,15.188,0.001,1504.41,2.919,1
92.27525,26.042139,146.943,27.407,100.911,384.002,30,0.127,14.437,0.05,1765.618,162.972,1
93.257722,25.362583,385.048,16.953,118.401,90.51,10,0.125,5.139,0.001,825.969,0.531,1
93.003944,25.171889,737.892,14.841,128.982,527.76,10,0.127,5.729,0.001,1266.922,0.925,1
92.907383,25.441757,574.039,13.558,51.395,489.09,10,0.127,5.106,0.001,939.912,0.606,1
91.803611,26.191667,82.161,19.833,145.45,85.865,10,0.271,9.711,0.01,1569.493,32.799,1
93.04925,26.56111,106.633,26.363,28.736,90.51,10,0.129,22.727,0.001,1604.077,4.719,1
92.440944,26.118167,167.868,17.924,119.155,206.395,10,0.129,11.288,0.001,1610.009,2.343,1
93.363944,25.4255,382.224,9.325,212.374,114.487,10,0.124,2.394,0.001,805.592,0.238,1
93.226,25.189,1467.747,24.42,30.966,619.185,10,0.122,8.091,0.001,1104.285,1.092,1
93.104,25.186,513.98,5.454,256.391,40.477,40,0.125,3.063,0.05,1111.548,21.286,1
92.63,24.53,24.284,8.231,298.423,263.88,40,0.128,5.217,0.15,1194.687,119.114,1
93.211833,26.297306,134.403,17.589,216.121,28.622,10,0.126,5.383,0.001,1325.749,0.9,1
93.125639,25.184528,630.73,19.814,25.763,479.789,10,0.125,15.998,0.001,1115.287,2.229,1
92.74,24.55,45.183,5.257,353.657,487.412,10,0.126,1.141,0.001,1338.937,0.193,1
93.022778,25.155722,620.2,19.564,26.458,612.534,10,0.127,6.152,0.001,1281.644,0.999,1
91.80111,26.18917,72.816,14.557,235.453,57.244,50,0.375,6.575,0.01,1570.392,25.618,1
93.059,25.204,563.362,22.282,136.113,121.432,10,0.127,9.54,0.001,1119.82,1.36,1
93.062,25.157,502.13,21.809,85.913,154.133,30,0.125,9.291,0.05,1228.524,71.465,1
93.001,25.106,681.198,32.787,344.371,145.943,10,0.128,15.164,0.001,1428.439,2.756,1
92.54775,25.82528,460.641,10.168,17.936,28.622,10,0.123,2.676,0.001,1526.811,0.505,1
92.45372222,24.78002778,39.616,16.551,165.95,572.437,10,0.124,8.681,0.001,1570.507,1.689,1
92.60367,25.95386,307.914,17.519,55.803,670.631,10,0.131,5.356,0.001,1500.203,1.047,1
92.778653,25.41616,955.697,12.252,355.333,376.461,10,0.126,3.4,0.001,968.039,0.415,1
92.95379,25.078935,1086.815,30.704,277.238,692.27,10,0.126,16.521,0.001,1553.627,3.237,1
92.82826,25.40837,888.18,33.047,134.507,544.567,10,0.123,17.997,0.001,977.719,2.173,1
92.958944,25.088389,973.174,29.005,176.786,489.09,10,0.124,25.479,0.001,1524.192,4.799,1
93.04,25.136,618.351,11.58,251.945,389.299,10,0.124,8.096,0.001,1306.952,1.314,1
93.78208,26.34838,226.309,9.641,5.966,28.622,10,0.124,3.298,0.001,1269.999,0.52,1
93.7399,26.3477,184.928,26.426,202.726,40.477,10,0.128,13.818,0.001,1328.55,2.338,1
93.78091,26.34938,226.195,7.527,29.031,0.0,10,0.124,4.648,0.001,1274.234,0.738,1
92.43875,26.096722,336.106,30.288,154.992,270.018,10,0.125,16.259,0.001,1630.214,3.313,1
92.544,25.82108,456.966,8.856,63.074,28.622,10,0.122,2.24,0.001,1512.016,0.414,1
93.29,25.22,878.946,5.075,149.626,0.0,40,0.123,2.79,0.15,1024.533,52.942,1
91.77411,26.15478,102.974,15.116,55.275,507.18,10,0.156,7.738,0.01,1582.505,17.16,1
