sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/WS/78A07/2015/362,27.27325,88.303417,1290.6,43.67,149.78,0.0,,forest,4512.2,1,West Sikkim,,Slide,600,0.003608,295.3,68.05
SKM/ES/78A11/2015/57,27.372333,88.617556,1884.5,33.48,324.12,0.0,,forest,5779.3,1,East Sikkim,,Fall,1500,0.011576,842.1,48.26
SKM/ES/78A11/2015/40,27.265944,88.534556,1165.9,47.06,191.57,0.0,,forest,5690.5,1,East Sikkim,,Fall,75,0.020749,675.9,80.23
SKM/ES/78A12/2015/34,27.203167,88.588667,1292.0,36.97,170.21,0.0,,forest,3901.6,1,East Sikkim,,Slide,15,0.001175,670.1,54.27
SKM/SS/78A08/2015/302,27.169028,88.486333,1247.3,34.03,352.71,0.0,,forest,4089.5,1,South Sikkim,,Slide,1400,-0.006475,546.6,49.55
SKM/NS/78A03/2017/67,27.253889,88.210028,1413.0,40.96,22.58,0.0941,,forest,5485.6,1,West Sikkim,,Slide,150,-0.003265,235.1,62.25
SKM/SS/78A08/2015/322,27.126444,88.340444,1044.9,31.01,255.66,0.0,,forest,3896.8,1,South Sikkim,,Slide,3000,0.009025,884.1,44.28
SKM/NS/78A15/2017/154,27.361583,88.839306,3826.1,34.43,269.58,0.1059,,grassland,3368.6,1,East Sikkim,,Slide,800,0.00439,251.1,49.47
SKM/SS/78A08/2015/304,27.166611,88.417528,1806.1,29.75,109.07,0.0,,forest,4287.6,1,South Sikkim,,Slide,1000,0.01437,499.6,42.84
SKM/WS/78A08/2015/348,27.206917,88.323278,473.3,29.7,105.04,0.2941,,forest,4026.1,1,West Sikkim,,Slide,800,0.003447,41.6,41.74
SKM/ES/78A11/2015/401,27.383361,88.702611,3170.6,40.18,214.1,0.0235,,grassland,4078.2,1,East Sikkim,,Slide,2400,0.013906,207.8,63.71
SK/NSK/78A11/2018/0000,27.393056,88.635278,1576.1,35.04,181.15,0.0588,,grassland,5750.0,1,North Sikkim,,Slide,420,0.000749,249.4,51.39
SKM/NS/78A03/2017/50,27.339806,88.227361,1185.3,37.65,99.2,0.0,,forest,4612.3,1,West Sikkim,,Slide,240,0.00155,302.6,55.05
SKM/ES/78A12/2015/109,27.195511,88.6342,583.9,39.98,334.52,0.3176,,forest,3785.3,1,East Sikkim,,Slide,1500,-0.012702,88.2,61.53
SKM/NS/78A10/2017/176,27.527722,88.607972,1517.6,46.19,271.56,0.1882,,forest,5846.6,1,North Sikkim,,Slide,24000,0.030685,117.6,79.99
SKM/SS/78A08/2015/229,27.140889,88.368222,1230.8,30.15,237.17,0.0,,forest,4117.3,1,South Sikkim,,Slide,600,-0.002491,771.4,42.33
SKM/SS/78A08/2015/307,27.15425,88.500333,995.7,37.77,88.96,0.0118,,forest,3693.1,1,South Sikkim,,Slide,750,-0.010801,242.3,55.6
SKM/WS/78A07/2015/361,27.2755,88.308056,1574.8,44.04,211.26,0.0,,forest,4535.9,1,West Sikkim,,Slide,3500,0.006031,693.6,69.97
SKM/NS/78A03/2017/10,27.28475,88.106194,1617.2,26.95,262.75,0.2941,,grassland,3448.8,1,West Sikkim,,Fall,200,0.01084,41.6,38.41
SKM/NS/78A10/2017/212,27.728472,88.551667,2691.0,38.83,134.41,0.2588,,forest,4391.7,1,North Sikkim,,Slide,6000,-0.015942,83.1,58.04
SKM/NS/78A10/2017/199,27.613444,88.656528,1774.5,36.95,152.91,0.0706,,forest,4502.0,1,North Sikkim,,Slide,4800,-0.004846,229.5,54.69
SKM/SS/78A07/2015/340,27.314694,88.417917,1211.5,31.28,137.47,0.2,,forest,6364.4,1,South Sikkim,,Subsidence,1360,0.006426,29.4,44.83
SKM/ES/78A11/2015/415,27.370083,88.67925,2583.2,38.65,246.89,0.0,,built-up,4582.9,1,East Sikkim,,Slide,3000,0.015817,323.3,58.5
SKM/SS/78A08/2015/243,27.101111,88.403333,811.5,29.43,175.19,0.0,,grassland,3817.0,1,South Sikkim,,Slide,1000,0.011492,599.4,41.66
SKM/SS/78A07/2015/193,27.255167,88.396944,1587.8,23.43,128.05,0.0,,forest,4999.9,1,South Sikkim,,Slide,400,0.014433,855.8,34.9
SKM/NS/78A03/2017/06,27.289861,88.084389,2086.7,33.18,54.08,0.0235,,forest,3273.6,1,West Sikkim,,Slide,15,-0.000881,270.9,49.06
