lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
92.77308,24.022376,814.512,31.011,194.046,598.033,10,0.127,14.551,0.001,797.4,1.473,1
93.12,22.21,1052.123,35.618,65.64,365.589,30,0.125,32.331,0.05,926.24,188.223,1
92.549866,22.897339,138.208,23.177,62.78,125.18,10,0.13,7.771,0.001,780.84,0.788,1
93.058052,23.172249,998.905,23.925,151.748,547.332,30,0.13,16.544,0.05,926.24,99.656,1
92.74,22.5,524.826,30.205,25.397,559.821,10,0.126,25.75,0.001,926.24,3.002,1
92.66,22.68,601.935,3.061,236.113,480.042,10,0.12,0.899,0.001,876.07,0.094,1
93.201279,23.863417,924.737,25.061,194.65,622.946,30,0.133,13.268,0.05,893.33,78.318,1
93.07526,23.336955,1117.031,45.652,158.084,678.882,50,0.129,29.406,0.05,926.24,175.364,1
92.67,22.61,457.337,29.154,296.14,780.567,10,0.125,19.521,0.001,876.07,2.137,1
92.637703,23.271781,572.398,26.359,57.54,395.853,10,0.127,22.722,0.001,867.28,2.504,1
93.01,22.17,964.626,29.474,341.813,212.524,10,0.125,21.27,0.001,926.24,2.458,1
92.572139,23.533361,919.132,15.981,308.699,665.859,10,0.126,6.444,0.001,867.28,0.704,1
92.845102,23.388377,923.599,31.019,126.341,668.622,30,0.13,11.032,0.05,952.85,68.424,1
92.825165,22.788198,717.287,43.934,232.685,517.021,50,0.126,28.273,0.01,926.24,32.847,1
92.8,22.16,493.031,25.488,342.911,135.776,10,0.128,8.727,0.001,926.24,1.026,1
92.89,24.37,35.224,22.562,296.935,30.361,10,0.131,18.794,0.001,952.85,2.352,1
92.38,24.05,631.163,29.372,270.867,778.202,10,0.126,19.693,0.001,814.07,2.014,1
92.49,22.9,215.213,25.063,27.018,365.589,10,0.126,19.644,0.001,780.84,1.94,1
92.571583,23.678583,908.81,25.841,128.554,434.697,10,0.125,15.45,0.001,867.28,1.667,1
93.209889,23.448329,1391.745,22.324,176.371,674.113,10,0.128,12.919,0.001,926.24,1.529,1
92.837833,23.788722,611.734,35.251,37.521,557.345,10,0.135,19.836,0.001,888.881,2.367,1
93.329028,23.206,1637.884,31.421,275.531,788.205,10,0.126,27.996,0.001,817.91,2.897,1
92.79612,23.117416,941.156,35.193,236.923,408.459,10,0.126,29.312,0.001,797.4,2.932,1
92.747293,23.460697,1460.12,10.82,37.9,929.35,10,0.121,2.968,0.001,797.4,0.288,1
92.772003,22.320999,293.803,19.661,73.563,494.234,10,0.127,15.844,0.001,926.24,1.855,1
92.83319,22.9015,793.123,32.152,324.356,463.434,10,0.124,17.85,0.001,926.24,2.05,1
92.855013,23.497388,928.711,28.926,345.164,437.866,30,0.132,19.34,0.001,952.85,2.438,1
93.280821,23.163158,1500.549,31.193,257.949,412.948,10,0.127,14.652,0.001,926.24,1.726,1
92.68,22.57,465.147,23.736,79.044,692.992,10,0.123,13.931,0.001,876.07,1.504,1
92.882004,22.448,487.874,5.85,267.478,0.0,10,0.123,3.355,0.001,926.24,0.382,1
92.660167,23.71125,270.504,30.246,355.092,288.025,10,0.137,26.772,0.001,876.07,3.2,1
92.873933,23.43481,748.794,34.934,219.256,221.028,30,0.131,16.695,0.05,952.85,104.153,1
93.058403,23.710517,1049.864,43.382,140.195,607.969,30,0.135,24.872,0.05,929.52,156.111,1
92.906944,23.047222,779.484,24.447,103.679,653.986,10,0.124,20.737,0.001,926.24,2.373,1
93.276033,23.059174,1385.599,30.479,12.413,257.618,10,0.126,23.536,0.001,926.24,2.766,1
92.793089,24.081381,898.537,18.298,187.339,598.033,10,0.129,8.989,0.001,797.4,0.926,1
92.873001,22.468,499.453,19.47,352.38,259.401,10,0.124,15.651,0.001,926.24,1.793,1
92.943311,24.191114,517.408,32.129,102.462,570.423,10,0.132,28.732,0.001,1008.45,3.818,1
92.844697,23.385211,964.031,30.975,82.58,774.045,50,0.129,17.091,0.05,952.85,105.244,1
92.833038,22.940655,780.852,28.432,321.168,607.211,10,0.122,9.953,0.001,926.24,1.132,1
92.555168,23.089111,167.988,22.289,236.141,214.681,10,0.13,9.772,0.001,780.84,0.991,1
92.80175,22.827084,1058.013,27.925,218.783,455.408,50,0.124,12.854,0.01,926.24,14.781,1
93.03,22.26,1370.55,33.231,120.569,885.154,10,0.123,28.778,0.001,926.24,3.282,1
92.854734,23.321505,947.029,35.047,279.964,408.459,10,0.129,31.746,0.001,952.85,3.876,1
93.33848,23.141445,1347.036,32.362,167.149,610.239,30,0.127,17.986,0.05,817.91,93.488,1
92.946348,24.198831,579.859,40.21,82.506,322.737,10,0.132,25.746,0.001,1008.45,3.424,1
92.8599,23.449827,771.211,21.55,127.876,355.361,10,0.128,17.759,0.001,952.85,2.174,1
92.824974,22.869579,965.713,23.894,228.007,731.179,10,0.125,10.644,0.001,926.24,1.232,1
92.884167,23.695528,361.568,25.284,45.999,125.18,10,0.138,11.404,0.001,952.85,1.506,1
92.70697,22.97032,724.126,31.493,44.958,610.994,10,0.122,11.229,0.001,876.07,1.206,1
92.855003,22.518,732.998,35.254,184.308,494.234,10,0.125,19.838,0.001,926.24,2.28,1
92.812057,22.806564,893.164,38.886,170.474,305.12,30,0.124,24.826,0.05,926.24,141.877,1
92.737099,23.182264,831.088,35.008,175.144,734.951,10,0.125,16.735,0.001,876.07,1.83,1
92.88,24.36,91.378,15.899,42.122,91.082,10,0.131,7.529,0.001,952.85,0.943,1
92.624512,22.822599,172.852,35.752,20.188,177.031,10,0.128,17.137,0.001,867.28,1.901,1
93.159164,23.803364,406.671,25.425,270.571,30.361,10,0.136,21.751,0.001,870.125,2.577,1
92.71,24.31,337.01,16.667,63.085,67.888,10,0.124,5.15,0.001,761.69,0.489,1
93.336861,23.427611,1283.228,33.754,204.837,309.618,50,0.131,30.414,0.01,817.91,32.546,1
93.185776,23.905027,1002.06,28.29,195.102,564.739,10,0.132,24.734,0.001,850.2,2.786,1
92.760933,22.829491,520.997,26.081,249.413,490.49,10,0.123,15.624,0.001,797.4,1.53,1
92.47,22.9,72.809,8.114,190.511,242.884,10,0.126,2.049,0.001,770.29,0.199,1
92.886002,22.533001,650.037,30.073,241.403,194.402,10,0.123,26.593,0.001,926.24,3.024,1
92.634239,23.254946,801.352,31.089,184.72,964.395,10,0.124,14.595,0.001,867.28,1.566,1
93.01,22.18,1107.562,11.905,277.385,631.762,10,0.126,3.355,0.001,926.24,0.393,1
92.683334,23.199167,1012.759,33.325,157.796,537.133,10,0.125,20.874,0.001,876.07,2.29,1
92.741531,23.918461,984.632,18.365,91.663,559.821,10,0.132,7.678,0.001,876.07,0.888,1
92.48,22.89,106.46,19.669,54.126,96.008,10,0.124,6.341,0.001,780.84,0.618,1
92.915441,24.100401,817.922,13.64,71.657,714.602,30,0.13,3.993,0.05,952.85,24.726,1
92.841003,22.691,892.536,40.822,294.598,857.114,10,0.124,15.029,0.001,926.24,1.722,1
92.64,22.63,80.871,5.141,217.111,237.123,10,0.128,1.135,0.001,867.28,0.126,1
