latitude,longitude,district,label,elevation,slope,curvature,distance_to_drainage,land_cover_class,landcover_bare_sparse_vegetation,landcover_built_up,landcover_cropland,landcover_grassland,landcover_tree_cover,landcover_water
25.410611,93.284,Dima Hasao,1,267.0194091796875,18.992530822753906,-0.9941674470901489,90.755593876789,tree_cover,0,0,0,0,1,0
24.993,93.161583,Cachar,1,184.24081420898438,14.71586799621582,1.1039170026779175,602.6882128089565,tree_cover,0,0,0,0,1,0
26.17756,91.76589,Kamrup (Metro),1,91.46956634521484,19.38328742980957,-2.1870779991149902,585.3559919476628,tree_cover,0,0,0,0,1,0
26.109222,91.939,Kamrup,1,78.4803237915039,21.90177345275879,0.2063923180103302,288.4257893831262,tree_cover,0,0,0,0,1,0
25.428597,93.312597,Dima Hasao,1,366.4148254394531,11.559624671936035,-0.8030569553375244,417.87013506888434,tree_cover,0,0,0,0,1,0
25.81756,93.10886,Nagaon,1,210.3531036376953,20.702533721923828,-0.631502091884613,548.3020065870597,built_up,0,1,0,0,0,0
25.139,93.025,Dima Hasao,1,602.8360595703125,10.510286331176758,-0.18873924016952515,385.0433751653389,tree_cover,0,0,0,0,1,0
25.148722,93.031917,Dima Hasao,1,442.8808288574219,20.522045135498047,-0.6791796684265137,103.47729782859263,grassland,0,0,0,1,0,0
24.95,92.73,Cachar,1,61.76909255981445,2.5637199878692627,-0.546383261680603,445.53510014395135,tree_cover,0,0,0,0,1,0
25.179861,93.070778,Dima Hasao,1,485.02117919921875,5.882114887237549,-1.3333275318145752,258.2949483466956,built_up,0,1,0,0,0,0
26.043267,92.055531,Kamrup,1,251.4392547607422,21.001184463500977,0.7285764217376709,373.09270316744926,tree_cover,0,0,0,0,1,0
26.108417,92.440222,Nagaon,1,231.56300354003906,24.678375244140625,-2.522566318511963,202.9356772468639,tree_cover,0,0,0,0,1,0
26.043583,92.452222,West Karbi Anglong,1,341.762451171875,23.29556655883789,0.08020120859146118,28.699438705188403,tree_cover,0,0,0,0,1,0
25.454083,93.375972,Dima Hasao,1,409.6401672363281,12.446199417114258,-1.838247537612915,258.2949483466956,tree_cover,0,0,0,0,1,0
25.214944,93.021611,Dima Hasao,1,617.7907104492188,24.697998046875,-1.6288930177688599,672.4493455377018,tree_cover,0,0,0,0,1,0
26.102167,92.440472,Nagaon,1,324.2387390136719,14.119853973388672,1.6769781112670898,264.5957510418367,tree_cover,0,0,0,0,1,0
26.172917,92.762778,Nagaon,1,99.94662475585938,15.700297355651855,-1.6622076034545898,28.699438705188403,tree_cover,0,0,0,0,1,0
25.216944,93.011361,Dima Hasao,1,476.05352783203125,27.3962345123291,-1.1302419900894165,481.09025841311256,tree_cover,0,0,0,0,1,0
24.79489,92.55506,Hailakandi,1,44.42559051513672,9.645636558532715,-1.4054292440414429,162.34854179749112,tree_cover,0,0,0,0,1,0
26.347417,93.2982,Karbi Anglong,1,305.02777099609375,10.197608947753906,0.5225268602371216,143.497193525942,tree_cover,0,0,0,0,1,0
25.1,93.28,Dima Hasao,1,909.9007568359375,14.299888610839844,1.1597051620483398,40.58713544937278,tree_cover,0,0,0,0,1,0
25.84992,92.69072,West Karbi Anglong,1,450.88201904296875,17.17423439025879,-1.6483079195022583,527.6327608418461,tree_cover,0,0,0,0,1,0
25.10275,92.986944,Dima Hasao,1,600.700439453125,24.16074562072754,-1.5183171033859253,346.77663729115096,tree_cover,0,0,0,0,1,0
24.54,92.63,Hailakandi,1,47.158912658691406,6.6469268798828125,1.6530486345291138,545.2893353985796,tree_cover,0,0,0,0,1,0
26.0405,92.0355,Kamrup,1,225.08326721191406,6.092977046966553,-0.9578831195831299,154.55120729969443,cropland,0,0,1,0,0,0
26.071556,91.734028,Kamrup,1,301.8472595214844,12.703152656555176,-1.2860945463180542,181.511187753578,tree_cover,0,0,0,0,1,0
25.513567,92.784825,Dima Hasao,1,314.98797607421875,4.11179780960083,0.00033346156124025583,200.8960709363188,bare_sparse_vegetation,1,0,0,0,0,0
26.061,90.605,Goalpara,1,58.396080017089844,14.911258697509766,-1.1124721765518188,684.5884003939454,tree_cover,0,0,0,0,1,0
24.51,92.64,Hailakandi,1,54.96823501586914,8.351542472839355,-0.48422786593437195,320.8694793044491,tree_cover,0,0,0,0,1,0
26.3848,90.5943,Bongaigaon,1,92.55038452148438,41.788536071777344,-1.6267625093460083,901.180655054782,grassland,0,0,0,1,0,0
26.34075,93.78861,Karbi Anglong,1,244.8533477783203,23.035795211791992,0.3790976107120514,410.91342799735514,tree_cover,0,0,0,0,1,0
25.156,93.018,Dima Hasao,1,593.3613891601562,11.437264442443848,0.38305097818374634,523.7156111895314,tree_cover,0,0,0,0,1,0
25.8465,93.687,Karbi Anglong,1,177.3197021484375,18.05180549621582,1.6739696264266968,86.09831611556521,tree_cover,0,0,0,0,1,0
25.441734,92.892033,Dima Hasao,1,615.4036254882812,14.396282196044922,0.5578737854957581,544.533563260734,tree_cover,0,0,0,0,1,0
26.314964,93.256408,Karbi Anglong,1,368.22882080078125,19.238285064697266,-0.8570036292076111,246.8819067235833,tree_cover,0,0,0,0,1,0
25.67153,93.11522,Dima Hasao,1,312.83453369140625,11.096746444702148,-0.1590908020734787,708.8238476629073,built_up,0,1,0,0,0,0
26.93819,92.70402,Sonitpur,1,143.76756286621094,14.935129165649414,0.11156882345676422,57.398877410376805,tree_cover,0,0,0,0,1,0
26.6,94.34,Jorhat,1,139.39401245117188,5.903504371643066,-0.7649089097976685,0.0,tree_cover,0,0,0,0,1,0
